Epoch1/250：Train Loss: 5.161792531204224 | Val Loss: 4.475384538546919 | Val Acc: 0.0
Epoch2/250：Train Loss: 4.371027421569824 | Val Loss: 4.325676343692377 | Val Acc: 0.0
Epoch3/250：Train Loss: 4.324285021591186 | Val Loss: 4.334401331770534 | Val Acc: 0.0
Epoch4/250：Train Loss: 4.2766805862426756 | Val Loss: 4.215450906905884 | Val Acc: 0.0
Epoch5/250：Train Loss: 4.199212241744995 | Val Loss: 4.134219764520566 | Val Acc: 0.0
Epoch6/250：Train Loss: 4.087510301971435 | Val Loss: 4.020731306685426 | Val Acc: 0.0
Epoch7/250：Train Loss: 3.927861095428467 | Val Loss: 3.7963257742385133 | Val Acc: 0.0001
Epoch8/250：Train Loss: 3.7762935277938845 | Val Loss: 3.688898626607828 | Val Acc: 0.0
Epoch9/250：Train Loss: 3.6204725259780886 | Val Loss: 3.4755799412346495 | Val Acc: 0.0003
Epoch10/250：Train Loss: 3.462808036804199 | Val Loss: 3.310167594458729 | Val Acc: 0.0006
Epoch11/250：Train Loss: 3.3077708105087282 | Val Loss: 3.1298248310820362 | Val Acc: 0.0013
Epoch12/250：Train Loss: 3.129894326400757 | Val Loss: 2.932632170546169 | Val Acc: 0.0032
Epoch13/250：Train Loss: 2.9329982849121095 | Val Loss: 2.733599847878892 | Val Acc: 0.0082
Epoch14/250：Train Loss: 2.7131664295196534 | Val Loss: 2.460911065244827 | Val Acc: 0.0202
Epoch15/250：Train Loss: 2.4844559036254883 | Val Loss: 2.2258378073049427 | Val Acc: 0.0397
Epoch16/250：Train Loss: 2.264230491065979 | Val Loss: 2.0005187992089852 | Val Acc: 0.0734
Epoch17/250：Train Loss: 2.051539162349701 | Val Loss: 1.7880551331340315 | Val Acc: 0.1152
Epoch18/250：Train Loss: 1.8488074125289917 | Val Loss: 1.5900269613479272 | Val Acc: 0.1602
Epoch19/250：Train Loss: 1.6357396625518799 | Val Loss: 1.395578716128779 | Val Acc: 0.2131
Epoch20/250：Train Loss: 1.4499801666736603 | Val Loss: 1.2346764928616656 | Val Acc: 0.2718
Epoch21/250：Train Loss: 1.2963260967731476 | Val Loss: 1.1408265699593785 | Val Acc: 0.3199
Epoch22/250：Train Loss: 1.1748779194831849 | Val Loss: 0.9980863879283015 | Val Acc: 0.3643
Epoch23/250：Train Loss: 1.0741365561962128 | Val Loss: 0.9221804572370487 | Val Acc: 0.4112
Epoch24/250：Train Loss: 0.9972001123905182 | Val Loss: 0.87655423100764 | Val Acc: 0.4312
Epoch25/250：Train Loss: 0.9222920677185059 | Val Loss: 0.8325651679366541 | Val Acc: 0.4658
Epoch26/250：Train Loss: 0.8607792492389679 | Val Loss: 0.7541971896022273 | Val Acc: 0.4939
Epoch27/250：Train Loss: 0.8057208302259445 | Val Loss: 0.7000465344506711 | Val Acc: 0.5077
Epoch28/250：Train Loss: 0.7573929085493087 | Val Loss: 0.6662767678975298 | Val Acc: 0.5446
Epoch29/250：Train Loss: 0.7140975801944732 | Val Loss: 0.656108281863764 | Val Acc: 0.547
Epoch30/250：Train Loss: 0.6720837324142456 | Val Loss: 0.5992053130659433 | Val Acc: 0.5784
Epoch31/250：Train Loss: 0.6386633196353912 | Val Loss: 0.5820797395211058 | Val Acc: 0.5736
Epoch32/250：Train Loss: 0.6086238020420075 | Val Loss: 0.5595120418186005 | Val Acc: 0.5967
Epoch33/250：Train Loss: 0.5833148725628853 | Val Loss: 0.5324457178767116 | Val Acc: 0.6093
Epoch34/250：Train Loss: 0.5567605951547623 | Val Loss: 0.5215820274033105 | Val Acc: 0.6251
Epoch35/250：Train Loss: 0.5337220595955848 | Val Loss: 0.5269385303456944 | Val Acc: 0.6155
Epoch36/250：Train Loss: 0.5125778876185417 | Val Loss: 0.49380646731716377 | Val Acc: 0.6458
Epoch37/250：Train Loss: 0.4925298205137253 | Val Loss: 0.487622073045173 | Val Acc: 0.6491
Epoch38/250：Train Loss: 0.4740549682855606 | Val Loss: 0.4677980388410556 | Val Acc: 0.6527
Epoch39/250：Train Loss: 0.45657936882972716 | Val Loss: 0.4644018893424695 | Val Acc: 0.6623
Epoch40/250：Train Loss: 0.43818647623062135 | Val Loss: 0.4455988043889451 | Val Acc: 0.675
Epoch41/250：Train Loss: 0.42511595999002455 | Val Loss: 0.43733867074544436 | Val Acc: 0.677
Epoch42/250：Train Loss: 0.4118448090672493 | Val Loss: 0.42929787074510284 | Val Acc: 0.6951
Epoch43/250：Train Loss: 0.39548610528707506 | Val Loss: 0.42670170436747157 | Val Acc: 0.7024
Epoch44/250：Train Loss: 0.3821567143380642 | Val Loss: 0.407315905720662 | Val Acc: 0.7044
Epoch45/250：Train Loss: 0.3671730699717998 | Val Loss: 0.39834148353471543 | Val Acc: 0.7183
Epoch46/250：Train Loss: 0.35448900080919266 | Val Loss: 0.4051476616543322 | Val Acc: 0.7251
Epoch47/250：Train Loss: 0.3470491656541824 | Val Loss: 0.3878776879784779 | Val Acc: 0.7263
Epoch48/250：Train Loss: 0.33335300159454345 | Val Loss: 0.394293963195036 | Val Acc: 0.7388
