Epoch1/250：Train Loss: 4.505544483661652 | Val Loss: 3.747356481552124 | Val Acc: 0.0
Epoch2/250：Train Loss: 3.721617114543915 | Val Loss: 3.6776576137542722 | Val Acc: 0.0
Epoch3/250：Train Loss: 3.627151575088501 | Val Loss: 3.5923521232604982 | Val Acc: 0.0
Epoch4/250：Train Loss: 3.564556760787964 | Val Loss: 3.5189176654815673 | Val Acc: 0.0
Epoch5/250：Train Loss: 3.548552405834198 | Val Loss: 3.5229438591003417 | Val Acc: 0.0
Epoch6/250：Train Loss: 3.5371296405792236 | Val Loss: 3.5073498344421385 | Val Acc: 0.0
Epoch7/250：Train Loss: 3.5303578686714174 | Val Loss: 3.505973243713379 | Val Acc: 0.0
Epoch8/250：Train Loss: 3.5246553444862365 | Val Loss: 3.5114456176757813 | Val Acc: 0.0
Epoch9/250：Train Loss: 3.5232905769348144 | Val Loss: 3.503139600753784 | Val Acc: 0.0
Epoch10/250：Train Loss: 3.522034828662872 | Val Loss: 3.501214962005615 | Val Acc: 0.0
Epoch11/250：Train Loss: 3.525274796485901 | Val Loss: 3.5066894054412843 | Val Acc: 0.0
Epoch12/250：Train Loss: 3.5185295724868775 | Val Loss: 3.4986965370178225 | Val Acc: 0.0
Epoch13/250：Train Loss: 3.515465896129608 | Val Loss: 3.5035919189453124 | Val Acc: 0.0
Epoch14/250：Train Loss: 3.505860142707825 | Val Loss: 3.4708175468444824 | Val Acc: 0.0
Epoch15/250：Train Loss: 3.4901724290847778 | Val Loss: 3.4690048694610596 | Val Acc: 0.0
Epoch16/250：Train Loss: 3.4844570088386537 | Val Loss: 3.4795207595825195 | Val Acc: 0.0
Epoch17/250：Train Loss: 3.474168846607208 | Val Loss: 3.4560615158081056 | Val Acc: 0.0
Epoch18/250：Train Loss: 3.4598014879226686 | Val Loss: 3.425366678237915 | Val Acc: 0.0
Epoch19/250：Train Loss: 3.437316210269928 | Val Loss: 3.4020312595367432 | Val Acc: 0.0
Epoch20/250：Train Loss: 3.397454626560211 | Val Loss: 3.3217175674438475 | Val Acc: 0.0
Epoch21/250：Train Loss: 3.299436409473419 | Val Loss: 3.1768209171295165 | Val Acc: 0.0
Epoch22/250：Train Loss: 3.194296679496765 | Val Loss: 3.1025971794128417 | Val Acc: 0.0
Epoch23/250：Train Loss: 3.0793376088142397 | Val Loss: 3.026892833709717 | Val Acc: 0.0
Epoch24/250：Train Loss: 2.9430361795425415 | Val Loss: 2.8804140758514403 | Val Acc: 0.0
Epoch25/250：Train Loss: 2.7110215854644775 | Val Loss: 2.3215150833129883 | Val Acc: 0.0
Epoch26/250：Train Loss: 1.5805557996034623 | Val Loss: 0.979949688911438 | Val Acc: 0.2925
Epoch27/250：Train Loss: 0.8408847343921662 | Val Loss: 0.6099704301357269 | Val Acc: 0.435
Epoch28/250：Train Loss: 0.5223877406120301 | Val Loss: 0.5219733941555024 | Val Acc: 0.525
Epoch29/250：Train Loss: 0.32504508569836615 | Val Loss: 0.44161919593811033 | Val Acc: 0.6275
Epoch30/250：Train Loss: 0.24952452398836614 | Val Loss: 0.333977597951889 | Val Acc: 0.7
Epoch31/250：Train Loss: 0.15554126992821693 | Val Loss: 0.36778770208358763 | Val Acc: 0.6725
