epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.188,0.98633,3.8229,0.94584,0.40086,0.65111,0.50463,0.43229,0.59658,1.73025,0.80682,0.00333167,0.00333167,0.00333167
2,370.93,0.81532,1.61095,0.89502,0.79031,0.87266,0.87638,0.75459,0.56539,0.86723,0.79662,0.00653303,0.00653303,0.00653303
3,541.49,0.7809,1.14441,0.88439,0.86691,0.91219,0.93027,0.81971,0.51405,0.67573,0.78916,0.0096024,0.0096024,0.0096024
4,709.198,0.72846,0.9542,0.87328,0.86984,0.94572,0.93737,0.84257,0.47085,0.57933,0.78113,0.009406,0.009406,0.009406
5,876.41,0.6754,0.84708,0.86224,0.904,0.95613,0.95154,0.85643,0.46533,0.49979,0.78169,0.009208,0.009208,0.009208
6,1050.68,0.64537,0.78451,0.85627,0.9041,0.96463,0.95481,0.8684,0.43816,0.4607,0.77148,0.00901,0.00901,0.00901
7,1218.16,0.62402,0.73298,0.85125,0.92613,0.9751,0.95763,0.87667,0.42318,0.40716,0.76856,0.008812,0.008812,0.008812
8,1390.25,0.6013,0.69288,0.84646,0.91936,0.97013,0.95703,0.87706,0.41822,0.4102,0.76544,0.008614,0.008614,0.008614
9,1565.96,0.59004,0.67973,0.84451,0.9187,0.97619,0.95643,0.88352,0.40007,0.38433,0.76424,0.008416,0.008416,0.008416
10,1736.66,0.57697,0.653,0.84251,0.92442,0.97841,0.95742,0.88406,0.40135,0.37208,0.76337,0.008218,0.008218,0.008218
11,1906.35,0.57,0.63963,0.84058,0.92577,0.9805,0.95725,0.88742,0.39133,0.35944,0.76126,0.00802,0.00802,0.00802
12,2075.38,0.5592,0.6234,0.83896,0.93006,0.98089,0.96019,0.89398,0.37848,0.34305,0.75941,0.007822,0.007822,0.007822
13,2244.81,0.55216,0.61094,0.83651,0.92089,0.97998,0.9579,0.89058,0.38757,0.35185,0.76003,0.007624,0.007624,0.007624
14,2413.22,0.54597,0.59706,0.8344,0.92462,0.98471,0.95795,0.89428,0.37591,0.33632,0.75842,0.007426,0.007426,0.007426
15,2584.44,0.53939,0.59117,0.83468,0.94047,0.98395,0.96375,0.9028,0.3654,0.31602,0.75707,0.007228,0.007228,0.007228
16,2754.39,0.53432,0.57698,0.83329,0.93987,0.98353,0.96294,0.90351,0.36208,0.31344,0.75634,0.00703,0.00703,0.00703
17,2923.11,0.52865,0.56929,0.83175,0.93755,0.98742,0.95979,0.90022,0.36363,0.31076,0.75602,0.006832,0.006832,0.006832
18,3091.54,0.52389,0.5588,0.83101,0.93884,0.98532,0.96213,0.90416,0.35978,0.30485,0.75517,0.006634,0.006634,0.006634
19,3260.02,0.5203,0.55582,0.83077,0.93478,0.98616,0.95985,0.90219,0.3559,0.30431,0.75543,0.006436,0.006436,0.006436
20,3428.93,0.5176,0.55011,0.82988,0.93596,0.98601,0.96033,0.90548,0.35201,0.30194,0.75428,0.006238,0.006238,0.006238
21,3596.97,0.51378,0.53892,0.82967,0.94188,0.98691,0.96316,0.90892,0.34974,0.29228,0.75415,0.00604,0.00604,0.00604
22,3764.94,0.50684,0.5311,0.82822,0.93834,0.98841,0.96246,0.90923,0.34712,0.29223,0.75364,0.005842,0.005842,0.005842
23,3932.96,0.50638,0.52799,0.82763,0.94122,0.98879,0.96356,0.91116,0.34438,0.28746,0.75282,0.005644,0.005644,0.005644
24,4100.27,0.50242,0.52192,0.82739,0.93857,0.98532,0.96234,0.91107,0.34335,0.28892,0.75278,0.005446,0.005446,0.005446
25,4267.5,0.49787,0.51633,0.82689,0.9429,0.98859,0.96319,0.91299,0.3376,0.28129,0.75267,0.005248,0.005248,0.005248
26,4434.04,0.49228,0.50916,0.82638,0.94273,0.98699,0.96658,0.91723,0.33629,0.27913,0.75211,0.00505,0.00505,0.00505
27,4600.52,0.49075,0.50742,0.82629,0.94217,0.98789,0.96503,0.91551,0.33598,0.2762,0.75197,0.004852,0.004852,0.004852
28,4768.14,0.48697,0.50202,0.82554,0.9452,0.98858,0.96453,0.91697,0.33105,0.27072,0.75119,0.004654,0.004654,0.004654
29,4935.48,0.48332,0.49342,0.82415,0.94478,0.98921,0.96319,0.91681,0.3295,0.26984,0.75086,0.004456,0.004456,0.004456
30,5103.15,0.47869,0.48662,0.82522,0.94534,0.9901,0.96215,0.9154,0.32991,0.26773,0.75072,0.004258,0.004258,0.004258
31,5271.19,0.47763,0.48593,0.8241,0.94484,0.98962,0.96334,0.91709,0.32849,0.26816,0.75056,0.00406,0.00406,0.00406
32,5438.59,0.47453,0.48443,0.82399,0.94749,0.98944,0.96472,0.91983,0.32457,0.26251,0.75023,0.003862,0.003862,0.003862
33,5606.11,0.47097,0.47993,0.82238,0.94591,0.98944,0.96366,0.91897,0.32502,0.26412,0.74994,0.003664,0.003664,0.003664
34,5774.57,0.4677,0.47532,0.82237,0.94627,0.98975,0.96486,0.92112,0.32231,0.2618,0.74983,0.003466,0.003466,0.003466
35,5943.78,0.46569,0.46905,0.82167,0.94856,0.98962,0.96714,0.92428,0.31938,0.25908,0.74937,0.003268,0.003268,0.003268
36,6112.81,0.46329,0.46756,0.82121,0.94814,0.98744,0.96609,0.92315,0.31914,0.25925,0.74938,0.00307,0.00307,0.00307
37,6280.63,0.45944,0.46078,0.82111,0.94928,0.98883,0.96795,0.92539,0.31826,0.25625,0.74913,0.002872,0.002872,0.002872
38,6448.34,0.45699,0.45609,0.8203,0.94832,0.98807,0.96687,0.92495,0.31671,0.2562,0.7489,0.002674,0.002674,0.002674
39,6616.01,0.45351,0.45392,0.82009,0.94899,0.98788,0.96691,0.9255,0.31507,0.25537,0.74866,0.002476,0.002476,0.002476
40,6784.05,0.44938,0.45082,0.81925,0.95024,0.98715,0.96837,0.92676,0.31565,0.2549,0.74864,0.002278,0.002278,0.002278
41,6999.63,0.38988,0.33965,0.79577,0.95038,0.98806,0.96944,0.92777,0.31697,0.25362,0.74869,0.00208,0.00208,0.00208
