epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96622,5.69718,5.3328,4.16026,0,0,0,0,6.35726,5.30404,4.26458,9.999e-05,9.999e-05,9.999e-05
2,16.6941,4.25902,4.89455,3.45125,0.00495,0.27508,0.00529,0.0017,2.68999,4.22354,2.77484,0.000199663,0.000199663,0.000199663
3,24.4232,2.86144,4.19758,2.56712,0.01354,0.40106,0.01658,0.00738,2.74624,3.7453,2.36259,0.000298004,0.000298004,0.000298004
4,32.5165,2.24773,3.44612,1.99908,0.13575,0.32658,0.03698,0.02166,1.76093,3.02727,1.77133,0.000297001,0.000297001,0.000297001
5,40.5015,1.90218,3.00376,1.69151,0.06721,0.34896,0.04216,0.0279,1.40292,2.73137,1.47049,0.000295001,0.000295001,0.000295001
6,48.5705,1.60583,2.78318,1.4994,0.02014,0.99039,0.04463,0.03156,1.17599,2.65937,1.31109,0.000293001,0.000293001,0.000293001
7,56.4156,1.39439,2.66635,1.37385,0.02251,0.9945,0.0455,0.03365,1.05275,2.55087,1.2047,0.000291001,0.000291001,0.000291001
8,65.0291,1.27001,2.61054,1.3086,0.02352,0.99661,0.04672,0.0348,0.98787,2.4989,1.18655,0.000289001,0.000289001,0.000289001
9,72.9478,1.18606,2.55971,1.24611,0.02124,0.99697,0.04766,0.0356,0.96347,2.49925,1.1635,0.000287002,0.000287002,0.000287002
10,80.6147,1.13611,2.54205,1.2182,0.0243,0.99863,0.05321,0.04254,0.85828,2.4566,1.09162,0.000285002,0.000285002,0.000285002
11,88.8027,1.07814,2.51851,1.18807,0.0309,0.99167,0.05316,0.0432,0.80897,2.42345,1.08387,0.000283002,0.000283002,0.000283002
12,97.1508,1.0399,2.49912,1.16544,0.03018,0.99617,0.05604,0.0452,0.83308,2.42019,1.06462,0.000281002,0.000281002,0.000281002
13,104.883,1.01321,2.48602,1.15245,0.026,0.99849,0.05735,0.04676,0.81448,2.4196,1.05684,0.000279002,0.000279002,0.000279002
14,113.683,0.98625,2.46947,1.12496,0.02521,1,0.05797,0.04796,0.75098,2.41961,1.02894,0.000277003,0.000277003,0.000277003
15,121.765,0.95318,2.4543,1.11538,0.02952,0.99748,0.05829,0.04827,0.74518,2.39335,1.02719,0.000275003,0.000275003,0.000275003
16,129.823,0.93443,2.45297,1.09514,0.02854,0.99721,0.06003,0.04998,0.71507,2.38303,1.01988,0.000273003,0.000273003,0.000273003
17,137.717,0.9159,2.43946,1.09029,0.02905,0.99848,0.06104,0.0514,0.70525,2.37284,0.9955,0.000271003,0.000271003,0.000271003
18,146.049,0.90448,2.43321,1.07419,0.03584,0.87094,0.06516,0.05465,0.7077,2.36668,1.00127,0.000269003,0.000269003,0.000269003
19,153.992,0.89092,2.42159,1.06795,0.03314,0.99149,0.06657,0.05567,0.7056,2.35868,1.00528,0.000267004,0.000267004,0.000267004
20,162.106,0.88873,2.42381,1.06143,0.03003,0.99949,0.06842,0.05689,0.68107,2.36841,0.98166,0.000265004,0.000265004,0.000265004
21,170.218,0.86784,2.41443,1.05564,0.03389,0.99291,0.07337,0.06253,0.66088,2.35009,0.96814,0.000263004,0.000263004,0.000263004
