epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8682,3.04123,4.41623,2.30607,0.00939,0.48688,0.02223,0.00818,2.81307,3.4506,2.17606,0.00333,0.00333,0.00333
2,142.172,1.36566,2.66662,1.20077,0.36678,0.54257,0.44112,0.33395,0.98596,1.87368,1.02337,0.00658087,0.00658087,0.00658087
3,209.451,1.15436,1.97592,1.07903,0.62958,0.68251,0.70867,0.56164,0.83753,1.28587,0.95385,0.00974925,0.00974925,0.00974925
4,275.954,1.01687,1.5635,1.01845,0.77456,0.78939,0.84275,0.69266,0.73022,0.98518,0.91248,0.00962875,0.00962875,0.00962875
5,342.207,0.91148,1.31329,0.97797,0.83313,0.84628,0.89285,0.75408,0.64179,0.78834,0.87662,0.009505,0.009505,0.009505
6,407.835,0.83961,1.17672,0.9511,0.86198,0.88482,0.91422,0.77375,0.63227,0.71379,0.86905,0.00938125,0.00938125,0.00938125
7,475.423,0.79528,1.08991,0.93691,0.87494,0.89108,0.92787,0.8022,0.57239,0.65545,0.85314,0.0092575,0.0092575,0.0092575
8,541.207,0.75875,1.02799,0.92604,0.89327,0.91559,0.93634,0.82216,0.53752,0.60384,0.84032,0.00913375,0.00913375,0.00913375
9,606.921,0.73183,0.98099,0.9168,0.88857,0.92389,0.9399,0.8289,0.52012,0.58226,0.83697,0.00901,0.00901,0.00901
10,672.913,0.71186,0.94734,0.9117,0.89659,0.926,0.93947,0.82658,0.52582,0.57659,0.83531,0.00888625,0.00888625,0.00888625
11,737.851,0.69001,0.90854,0.90391,0.90407,0.93599,0.94316,0.83785,0.49832,0.53725,0.82596,0.0087625,0.0087625,0.0087625
12,803.666,0.67638,0.88409,0.89857,0.90622,0.94206,0.94742,0.85278,0.46552,0.51529,0.8201,0.00863875,0.00863875,0.00863875
13,886.347,0.6621,0.85927,0.89381,0.90891,0.9433,0.94923,0.85249,0.47213,0.50722,0.81881,0.008515,0.008515,0.008515
14,956.021,0.65076,0.8402,0.89135,0.92435,0.94677,0.95568,0.86568,0.44708,0.48125,0.8131,0.00839125,0.00839125,0.00839125
15,1020.85,0.64145,0.82942,0.89041,0.91767,0.95255,0.95119,0.85922,0.45299,0.48346,0.81309,0.0082675,0.0082675,0.0082675
16,1085.48,0.63274,0.81025,0.88478,0.92322,0.94977,0.95806,0.86715,0.45037,0.47038,0.81187,0.00814375,0.00814375,0.00814375
17,1150.05,0.62387,0.79835,0.88453,0.91971,0.95409,0.95417,0.87186,0.42689,0.45696,0.80831,0.00802,0.00802,0.00802
18,1215.46,0.61669,0.7787,0.88079,0.92736,0.95507,0.95764,0.87784,0.41898,0.44499,0.80548,0.00789625,0.00789625,0.00789625
19,1280.36,0.61052,0.77423,0.87971,0.92999,0.95743,0.9634,0.88475,0.41445,0.43498,0.80415,0.0077725,0.0077725,0.0077725
20,1345.74,0.60546,0.76458,0.87852,0.92846,0.96024,0.9631,0.88637,0.40938,0.43003,0.80313,0.00764875,0.00764875,0.00764875
21,1411.59,0.59869,0.75747,0.87677,0.93004,0.96432,0.96044,0.88277,0.41271,0.42421,0.80303,0.007525,0.007525,0.007525
