epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5307,5.42937,5.62178,3.88879,0.0054,0.01331,0.00297,0.00107,3.6842,5.20976,2.91655,5.05259e-05,5.05259e-05,5.05259e-05
2,49.8237,3.55703,4.98506,2.75595,0.00697,0.27527,0.00722,0.00288,2.60686,4.15578,2.27247,9.99403e-05,9.99403e-05,9.99403e-05
3,74.3588,2.45601,3.89368,1.9936,0.00953,0.73264,0.02068,0.01121,1.86743,3.34921,1.71129,0.000148101,0.000148101,0.000148101
4,99.089,2.02902,3.33893,1.70398,0.0115,0.86582,0.03814,0.02415,1.61039,3.07585,1.52478,0.000146357,0.000146357,0.000146357
5,122.809,1.81595,3.15696,1.54413,0.21656,0.0924,0.06514,0.04261,1.5557,2.93332,1.43676,0.000144476,0.000144476,0.000144476
6,148.046,1.67495,3.01059,1.43638,0.24137,0.18891,0.11675,0.08054,1.35942,2.74884,1.30259,0.000142595,0.000142595,0.000142595
7,173.079,1.59524,2.90246,1.36463,0.25509,0.30415,0.16876,0.11958,1.2818,2.57378,1.25367,0.000140714,0.000140714,0.000140714
8,197.875,1.51471,2.79237,1.32297,0.25712,0.32401,0.2161,0.15537,1.21079,2.43974,1.20061,0.000138833,0.000138833,0.000138833
9,222.886,1.45124,2.68656,1.27976,0.27979,0.35544,0.25781,0.18847,1.14232,2.34029,1.17331,0.000136952,0.000136952,0.000136952
10,247.668,1.39374,2.59049,1.24945,0.27928,0.4209,0.29801,0.22068,1.10625,2.20288,1.13755,0.000135071,0.000135071,0.000135071
11,272.186,1.35492,2.50981,1.22849,0.30186,0.44727,0.33202,0.24863,1.0537,2.1167,1.12008,0.00013319,0.00013319,0.00013319
12,296.663,1.31764,2.43506,1.2055,0.36813,0.47684,0.37305,0.28117,1.04471,2.03154,1.10256,0.000131309,0.000131309,0.000131309
13,320.834,1.28644,2.37297,1.18738,0.37418,0.49029,0.39848,0.29822,1.02461,1.97012,1.09161,0.000129428,0.000129428,0.000129428
14,344.956,1.26094,2.30845,1.16768,0.39925,0.51413,0.4382,0.33324,0.9859,1.88631,1.06904,0.000127547,0.000127547,0.000127547
15,368.986,1.23312,2.25546,1.15612,0.42001,0.53876,0.46723,0.3584,0.9654,1.82812,1.05641,0.000125666,0.000125666,0.000125666
16,393.122,1.21461,2.20866,1.14497,0.43476,0.55749,0.49055,0.37636,0.96715,1.7687,1.0512,0.000123785,0.000123785,0.000123785
17,416.923,1.19772,2.1561,1.13797,0.47994,0.56638,0.52977,0.41013,0.94054,1.71624,1.04702,0.000121904,0.000121904,0.000121904
18,441.07,1.17899,2.10988,1.12518,0.48324,0.58669,0.54818,0.42688,0.91655,1.65649,1.03344,0.000120023,0.000120023,0.000120023
19,466.418,1.16685,2.07126,1.11792,0.5003,0.58975,0.56131,0.43485,0.91525,1.61518,1.02882,0.000118142,0.000118142,0.000118142
