epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3921,3.22668,1.78943,2.48681,0.77346,0.77184,0.83131,0.45189,1.68963,1.22268,1.48957,0.000665134,0.000665134,0.000665134
2,73.5288,1.51712,0.93737,1.32756,0.9358,0.91311,0.97142,0.65644,1.13811,0.76501,1.14287,0.00131532,0.00131532,0.00131532
3,102.951,1.25043,0.77916,1.16157,0.9395,0.93836,0.98012,0.71431,0.99769,0.70334,1.06764,0.00194901,0.00194901,0.00194901
4,130.952,1.10942,0.6896,1.09283,0.96565,0.95737,0.98707,0.76054,0.86756,0.61047,1.00783,0.00192575,0.00192575,0.00192575
5,160.343,1.03158,0.63381,1.05906,0.96804,0.9467,0.98443,0.75198,0.90333,0.64598,1.00525,0.001901,0.001901,0.001901
6,189.248,0.97372,0.59578,1.02982,0.97885,0.96402,0.99077,0.81775,0.73689,0.498,0.95473,0.00187625,0.00187625,0.00187625
7,218.36,0.92197,0.56278,1.01015,0.98199,0.97118,0.99263,0.82894,0.70252,0.4688,0.94305,0.0018515,0.0018515,0.0018515
8,247.594,0.8958,0.54591,1.00069,0.98304,0.97415,0.99215,0.82961,0.67827,0.47206,0.92561,0.00182675,0.00182675,0.00182675
9,276.962,0.86666,0.52173,0.98826,0.98453,0.97543,0.99301,0.85318,0.64467,0.42817,0.91889,0.001802,0.001802,0.001802
10,306.217,0.84719,0.51072,0.98324,0.99044,0.93801,0.98707,0.83757,0.66615,0.52933,0.92271,0.00177725,0.00177725,0.00177725
11,334.635,0.82879,0.49886,0.9754,0.98788,0.98379,0.9943,0.85222,0.64735,0.3949,0.91151,0.0017525,0.0017525,0.0017525
12,362.978,0.8111,0.48539,0.96711,0.99252,0.97902,0.99439,0.86411,0.61097,0.38237,0.90307,0.00172775,0.00172775,0.00172775
13,391.469,0.80197,0.47737,0.96402,0.98667,0.96742,0.99234,0.83915,0.67796,0.41682,0.92321,0.001703,0.001703,0.001703
14,419.69,0.79114,0.46848,0.96026,0.98682,0.97256,0.99317,0.85331,0.63384,0.41861,0.90476,0.00167825,0.00167825,0.00167825
15,448.337,0.76734,0.45571,0.95236,0.99089,0.98507,0.99437,0.86746,0.58681,0.36121,0.88984,0.0016535,0.0016535,0.0016535
16,491.97,0.76641,0.45311,0.95022,0.99149,0.98549,0.99455,0.86982,0.59422,0.3572,0.89082,0.00162875,0.00162875,0.00162875
17,519.627,0.74506,0.43945,0.94157,0.99282,0.96839,0.99299,0.87525,0.56668,0.38736,0.88621,0.001604,0.001604,0.001604
18,548.381,0.74599,0.44085,0.94379,0.99227,0.98678,0.99475,0.87473,0.55907,0.34232,0.8819,0.00157925,0.00157925,0.00157925
19,578.103,0.73741,0.43305,0.94023,0.99059,0.98247,0.99419,0.83661,0.67086,0.387,0.9202,0.0015545,0.0015545,0.0015545
20,608.048,0.72809,0.42626,0.93772,0.99419,0.97931,0.99417,0.88647,0.54267,0.34222,0.87641,0.00152975,0.00152975,0.00152975
21,636.836,0.72516,0.42649,0.93655,0.99406,0.9898,0.99486,0.89178,0.52784,0.32229,0.86817,0.001505,0.001505,0.001505
22,664.597,0.71737,0.41917,0.93257,0.99289,0.98664,0.99469,0.88878,0.51946,0.32021,0.86769,0.00148025,0.00148025,0.00148025
23,692.692,0.7111,0.41589,0.93203,0.99473,0.9761,0.99412,0.88834,0.51963,0.34562,0.86694,0.0014555,0.0014555,0.0014555
24,721.378,0.70512,0.41196,0.93189,0.99406,0.98594,0.99463,0.88971,0.5236,0.3221,0.86863,0.00143075,0.00143075,0.00143075
25,750.37,0.69787,0.40775,0.92728,0.99491,0.9908,0.99491,0.8903,0.52226,0.31314,0.86563,0.001406,0.001406,0.001406
26,777.614,0.69712,0.40727,0.92498,0.99672,0.98678,0.99473,0.89986,0.51044,0.316,0.86131,0.00138125,0.00138125,0.00138125
27,805.89,0.69229,0.40481,0.92471,0.99201,0.99124,0.99475,0.89765,0.51369,0.30861,0.86334,0.0013565,0.0013565,0.0013565
28,836.662,0.68194,0.39674,0.91806,0.9951,0.992,0.99483,0.90643,0.49836,0.29688,0.85897,0.00133175,0.00133175,0.00133175
29,865.662,0.68428,0.39736,0.92118,0.99537,0.98865,0.99482,0.90181,0.49222,0.3062,0.85459,0.001307,0.001307,0.001307
30,893.821,0.67449,0.39247,0.91634,0.99425,0.99296,0.99492,0.90786,0.4849,0.2947,0.85533,0.00128225,0.00128225,0.00128225
31,922.309,0.67441,0.3907,0.91713,0.99537,0.99325,0.99492,0.9037,0.49504,0.29938,0.85686,0.0012575,0.0012575,0.0012575
32,951.781,0.67489,0.39031,0.9188,0.99568,0.99388,0.99488,0.90776,0.48492,0.29044,0.85435,0.00123275,0.00123275,0.00123275
33,979.71,0.6703,0.38848,0.9167,0.99625,0.9931,0.99491,0.90239,0.48875,0.29023,0.85552,0.001208,0.001208,0.001208
34,1007.94,0.66006,0.38329,0.91572,0.99611,0.99277,0.99496,0.91037,0.4782,0.28664,0.85232,0.00118325,0.00118325,0.00118325
35,1035.92,0.65932,0.38318,0.91322,0.99544,0.99368,0.9949,0.91355,0.48058,0.28511,0.85287,0.0011585,0.0011585,0.0011585
36,1064.03,0.65962,0.38061,0.91323,0.99611,0.99292,0.99493,0.91241,0.47217,0.2803,0.84922,0.00113375,0.00113375,0.00113375
