epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1046,3.42326,2.02788,2.63389,0.73907,0.74488,0.80854,0.42083,1.72643,1.16899,1.56435,0.000475248,0.000475248,0.000475248
2,65.7854,1.61023,1.01373,1.37569,0.90357,0.89454,0.96048,0.65348,1.1447,0.86173,1.17156,0.000939806,0.000939806,0.000939806
3,94.4456,1.2893,0.82524,1.16658,0.94192,0.93974,0.98071,0.72583,0.96439,0.6848,1.06384,0.00139257,0.00139257,0.00139257
4,123.55,1.158,0.73846,1.10135,0.95363,0.94599,0.98624,0.74887,0.88606,0.65103,1.01566,0.00137595,0.00137595,0.00137595
5,151.983,1.06106,0.67771,1.05787,0.96545,0.94159,0.98672,0.77894,0.82215,0.61498,0.98473,0.00135826,0.00135826,0.00135826
6,181.808,1.00835,0.63367,1.03119,0.9622,0.92616,0.97861,0.75714,0.85776,0.64425,0.99982,0.00134058,0.00134058,0.00134058
7,210.28,0.96323,0.60648,1.01453,0.97706,0.96802,0.99242,0.82581,0.71442,0.49002,0.94041,0.0013229,0.0013229,0.0013229
8,239.052,0.92917,0.58033,1.00121,0.98022,0.96501,0.99236,0.83112,0.69354,0.48276,0.93146,0.00130521,0.00130521,0.00130521
9,268.278,0.90629,0.56146,0.99115,0.98479,0.97569,0.99368,0.82104,0.72687,0.46028,0.94039,0.00128753,0.00128753,0.00128753
10,298.345,0.87888,0.54082,0.97971,0.9856,0.9784,0.99381,0.83315,0.70282,0.43947,0.92574,0.00126985,0.00126985,0.00126985
11,326.224,0.86572,0.53378,0.9777,0.98779,0.9774,0.99366,0.84527,0.6647,0.43977,0.91361,0.00125216,0.00125216,0.00125216
12,355.57,0.84714,0.5189,0.96852,0.98837,0.98337,0.99451,0.86622,0.62479,0.41002,0.9007,0.00123448,0.00123448,0.00123448
13,383.811,0.83042,0.50649,0.96213,0.9863,0.98225,0.99417,0.86117,0.62412,0.40735,0.90359,0.00121679,0.00121679,0.00121679
