epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8773,3.26153,1.8039,2.50893,0.71173,0.77983,0.81843,0.43192,1.64369,1.09705,1.51119,0.000665052,0.000665052,0.000665052
2,58.4046,1.54354,0.96857,1.34279,0.91052,0.89394,0.96226,0.66391,1.1363,0.83368,1.16478,0.00131524,0.00131524,0.00131524
3,85.2696,1.25859,0.786,1.16158,0.94137,0.9378,0.98033,0.6961,1.0956,0.74783,1.10533,0.00194893,0.00194893,0.00194893
4,112.498,1.11939,0.69836,1.09735,0.96987,0.95838,0.98998,0.74298,0.94543,0.59087,1.03466,0.00192575,0.00192575,0.00192575
5,139.688,1.02961,0.63819,1.05492,0.95923,0.94749,0.98479,0.7556,0.89686,0.63997,1.00488,0.001901,0.001901,0.001901
6,166.268,0.97384,0.6004,1.02963,0.9818,0.97196,0.99308,0.82146,0.71495,0.48693,0.94515,0.00187625,0.00187625,0.00187625
7,193.64,0.93156,0.56824,1.01381,0.98529,0.96316,0.99001,0.80502,0.74834,0.48139,0.95523,0.0018515,0.0018515,0.0018515
8,220.789,0.89176,0.54311,0.99826,0.97797,0.98018,0.9934,0.82678,0.71042,0.46832,0.93226,0.00182675,0.00182675,0.00182675
9,247.465,0.86114,0.51965,0.98726,0.9864,0.98508,0.99451,0.85685,0.64187,0.42172,0.91098,0.001802,0.001802,0.001802
10,274.133,0.84586,0.50892,0.98033,0.99009,0.98342,0.99456,0.86385,0.61567,0.40047,0.90007,0.00177725,0.00177725,0.00177725
11,301.187,0.82214,0.49178,0.97163,0.99117,0.98434,0.99449,0.85844,0.62883,0.38726,0.90291,0.0017525,0.0017525,0.0017525
12,328.354,0.81437,0.48849,0.96893,0.99561,0.98523,0.99475,0.87459,0.58979,0.37456,0.89057,0.00172775,0.00172775,0.00172775
13,356.227,0.79486,0.47251,0.95906,0.99679,0.98329,0.99466,0.87308,0.58099,0.37006,0.88667,0.001703,0.001703,0.001703
14,382.721,0.77553,0.46161,0.95246,0.98501,0.98024,0.99412,0.83389,0.67734,0.42752,0.93231,0.00167825,0.00167825,0.00167825
15,409.589,0.77272,0.45689,0.95004,0.99471,0.98941,0.99489,0.8781,0.58073,0.36129,0.88579,0.0016535,0.0016535,0.0016535
16,436.821,0.75696,0.44741,0.94714,0.99355,0.98799,0.99482,0.87186,0.5728,0.35313,0.88171,0.00162875,0.00162875,0.00162875
17,464.164,0.7456,0.44062,0.94106,0.99312,0.98822,0.99461,0.87542,0.57158,0.35819,0.88076,0.001604,0.001604,0.001604
18,492.096,0.73494,0.43237,0.93669,0.99511,0.98971,0.99491,0.89383,0.54584,0.33635,0.87121,0.00157925,0.00157925,0.00157925
19,519.065,0.73012,0.43167,0.93886,0.99434,0.99135,0.99489,0.88577,0.53817,0.33083,0.87109,0.0015545,0.0015545,0.0015545
20,545.758,0.72048,0.42013,0.93313,0.99714,0.98945,0.99494,0.88645,0.55574,0.33203,0.87252,0.00152975,0.00152975,0.00152975
21,572.301,0.70931,0.41686,0.92908,0.99609,0.98911,0.99494,0.8985,0.51301,0.31509,0.85975,0.001505,0.001505,0.001505
22,599.983,0.70764,0.41522,0.92935,0.99604,0.9912,0.99496,0.88913,0.53883,0.32472,0.86711,0.00148025,0.00148025,0.00148025
23,626.44,0.70167,0.41092,0.92787,0.99616,0.99299,0.99497,0.90211,0.5035,0.31475,0.85755,0.0014555,0.0014555,0.0014555
24,653.821,0.69709,0.40811,0.92784,0.99551,0.99148,0.99493,0.9008,0.51131,0.31177,0.86143,0.00143075,0.00143075,0.00143075
25,681.685,0.69018,0.40249,0.92412,0.99602,0.99448,0.99495,0.9013,0.5128,0.30701,0.86006,0.001406,0.001406,0.001406
26,708.754,0.68409,0.39911,0.92008,0.99775,0.99292,0.99497,0.90621,0.50513,0.3061,0.8573,0.00138125,0.00138125,0.00138125
27,736.124,0.67905,0.3956,0.91883,0.9982,0.99248,0.99499,0.90788,0.49785,0.30087,0.85406,0.0013565,0.0013565,0.0013565
28,763.762,0.68132,0.39448,0.91785,0.99585,0.99538,0.99497,0.9114,0.48391,0.29365,0.85132,0.00133175,0.00133175,0.00133175
29,791.709,0.67161,0.38959,0.9167,0.99763,0.99448,0.99498,0.90593,0.48506,0.29464,0.85033,0.001307,0.001307,0.001307
30,818.898,0.6724,0.38755,0.91457,0.99599,0.99523,0.99497,0.91562,0.47566,0.29384,0.84927,0.00128225,0.00128225,0.00128225
31,845.886,0.66179,0.3842,0.91223,0.99757,0.99403,0.995,0.90818,0.48376,0.28799,0.84916,0.0012575,0.0012575,0.0012575
32,872.418,0.66168,0.38341,0.91246,0.99836,0.99508,0.99497,0.91425,0.47179,0.28598,0.84593,0.00123275,0.00123275,0.00123275
33,899.621,0.65576,0.37822,0.91001,0.99728,0.99329,0.99496,0.90426,0.48653,0.28678,0.85024,0.001208,0.001208,0.001208
34,926.592,0.65591,0.37813,0.91,0.9972,0.99597,0.99499,0.91347,0.48073,0.28499,0.84739,0.00118325,0.00118325,0.00118325
35,953.77,0.64985,0.37544,0.90774,0.99866,0.99523,0.99497,0.91001,0.46847,0.28747,0.84485,0.0011585,0.0011585,0.0011585
36,980.151,0.64428,0.37157,0.9095,0.99806,0.99606,0.99499,0.92202,0.45478,0.2761,0.84117,0.00113375,0.00113375,0.00113375
37,1006.9,0.63747,0.36876,0.90554,0.9988,0.99436,0.99499,0.91356,0.45802,0.27535,0.84178,0.001109,0.001109,0.001109
38,1035.16,0.63846,0.3668,0.9017,0.99839,0.99657,0.99496,0.91886,0.45481,0.27306,0.84147,0.00108425,0.00108425,0.00108425
39,1062.17,0.63995,0.36889,0.904,0.99821,0.99622,0.99499,0.91676,0.44707,0.2733,0.83868,0.0010595,0.0010595,0.0010595
40,1088.92,0.63363,0.36448,0.90532,0.99746,0.99732,0.99497,0.92288,0.45352,0.27128,0.83891,0.00103475,0.00103475,0.00103475
41,1115.53,0.6287,0.36211,0.90176,0.99863,0.99567,0.995,0.92542,0.44272,0.26792,0.83746,0.00101,0.00101,0.00101
42,1143.93,0.63109,0.36099,0.90351,0.99731,0.99633,0.995,0.92639,0.44556,0.26718,0.83796,0.00098525,0.00098525,0.00098525
43,1171.47,0.62744,0.35812,0.89895,0.99791,0.99627,0.995,0.91714,0.44829,0.26713,0.83804,0.0009605,0.0009605,0.0009605
44,1199.07,0.62303,0.35719,0.89867,0.99821,0.99599,0.99495,0.92188,0.44833,0.26389,0.83886,0.00093575,0.00093575,0.00093575
45,1225.85,0.62262,0.35828,0.89828,0.99806,0.99664,0.99499,0.92397,0.44579,0.2656,0.83704,0.000911,0.000911,0.000911
46,1253.69,0.61856,0.35355,0.89838,0.99895,0.99699,0.99499,0.91633,0.4409,0.2765,0.83681,0.00088625,0.00088625,0.00088625
47,1282.42,0.61451,0.3515,0.89823,0.99734,0.99717,0.99499,0.9199,0.4364,0.26638,0.83476,0.0008615,0.0008615,0.0008615
48,1310.1,0.61544,0.35244,0.89505,0.9988,0.99567,0.99499,0.9188,0.43636,0.26628,0.8358,0.00083675,0.00083675,0.00083675
49,1336.71,0.61409,0.35097,0.89843,0.99865,0.99702,0.99499,0.9304,0.43014,0.2575,0.83259,0.000812,0.000812,0.000812
50,1365.06,0.60164,0.34487,0.89408,0.99881,0.9975,0.99499,0.92297,0.42586,0.2571,0.83172,0.00078725,0.00078725,0.00078725
51,1393.4,0.60507,0.34535,0.89443,0.99836,0.9979,0.99497,0.92407,0.42561,0.25378,0.83173,0.0007625,0.0007625,0.0007625
52,1420.47,0.60293,0.34459,0.89285,0.99836,0.99769,0.99498,0.92907,0.42874,0.25316,0.83165,0.00073775,0.00073775,0.00073775
53,1447.64,0.60356,0.34342,0.89443,0.99865,0.99746,0.99494,0.92419,0.42306,0.25327,0.83077,0.000713,0.000713,0.000713
54,1475.27,0.59914,0.34209,0.89315,0.99881,0.99792,0.99496,0.92857,0.42266,0.25078,0.83062,0.00068825,0.00068825,0.00068825
