epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.36812,5.64705,5.26708,4.02764,0,0,0,0,6.28416,5.2702,4.14653,9.999e-05,9.999e-05,9.999e-05
2,13.6491,4.14799,4.82697,3.20396,0.01404,0.14341,0.01013,0.0031,3.16777,4.29735,2.6026,0.000199663,0.000199663,0.000199663
3,20.6465,3.07018,4.08427,2.49553,0.02076,0.48086,0.03476,0.01327,2.95722,3.66003,2.33584,0.000298004,0.000298004,0.000298004
4,27.1864,2.40854,3.34684,2.04565,0.10184,0.48443,0.11526,0.05694,2.03802,3.06261,1.90997,0.000297001,0.000297001,0.000297001
5,33.7409,2.12304,2.8776,1.7938,0.26745,0.17958,0.23061,0.12817,1.70946,2.59205,1.69055,0.000295001,0.000295001,0.000295001
6,40.2318,1.93426,2.61739,1.66028,0.36232,0.37347,0.3373,0.21663,1.52001,2.25752,1.55652,0.000293001,0.000293001,0.000293001
7,46.6934,1.73554,2.38849,1.54903,0.45989,0.50141,0.46741,0.29137,1.45996,2.05384,1.47344,0.000291001,0.000291001,0.000291001
8,53.2981,1.60258,2.24715,1.46605,0.51171,0.58815,0.5834,0.40265,1.26822,1.85665,1.33974,0.000289001,0.000289001,0.000289001
9,60.2142,1.48919,2.08358,1.38021,0.59263,0.61558,0.65609,0.46277,1.17589,1.68684,1.2817,0.000287002,0.000287002,0.000287002
10,67.1029,1.42311,1.98437,1.34855,0.62241,0.68087,0.72759,0.54028,1.08369,1.55283,1.22223,0.000285002,0.000285002,0.000285002
11,74.1217,1.34372,1.86679,1.30787,0.65978,0.70085,0.75059,0.53565,1.14623,1.50746,1.24178,0.000283002,0.000283002,0.000283002
12,80.7319,1.31698,1.79567,1.28637,0.76276,0.70976,0.80746,0.62115,1.00994,1.41274,1.19394,0.000281002,0.000281002,0.000281002
13,87.2668,1.28872,1.73035,1.27199,0.77218,0.75098,0.84839,0.6458,0.99826,1.32667,1.14089,0.000279002,0.000279002,0.000279002
14,93.6289,1.23455,1.67245,1.23979,0.78858,0.77214,0.86396,0.6762,0.92609,1.25956,1.11357,0.000277003,0.000277003,0.000277003
15,100.639,1.20506,1.64435,1.23321,0.84387,0.78038,0.88559,0.69575,0.92427,1.20579,1.11394,0.000275003,0.000275003,0.000275003
16,107.831,1.16769,1.5837,1.20508,0.82229,0.80586,0.89424,0.70399,0.89551,1.15155,1.09876,0.000273003,0.000273003,0.000273003
17,114.195,1.13794,1.54596,1.2006,0.85403,0.80973,0.9069,0.72585,0.85726,1.10134,1.0666,0.000271003,0.000271003,0.000271003
18,120.801,1.12254,1.48704,1.1782,0.84723,0.82784,0.90901,0.70942,0.90894,1.08572,1.08923,0.000269003,0.000269003,0.000269003
19,127.734,1.09206,1.44701,1.16339,0.86263,0.82383,0.91833,0.7298,0.86854,1.06321,1.06813,0.000267004,0.000267004,0.000267004
20,134.406,1.08575,1.41952,1.15579,0.8776,0.84833,0.92614,0.74403,0.83486,1.00587,1.05044,0.000265004,0.000265004,0.000265004
21,140.826,1.05352,1.37171,1.14304,0.9119,0.83836,0.93223,0.74779,0.83913,0.98576,1.03476,0.000263004,0.000263004,0.000263004
22,147.298,1.04982,1.36117,1.13517,0.89996,0.85262,0.93947,0.75972,0.80742,0.93547,1.02697,0.000261004,0.000261004,0.000261004
23,153.768,1.02076,1.31564,1.1181,0.90917,0.86272,0.94069,0.76483,0.78993,0.92352,1.02352,0.000259004,0.000259004,0.000259004
24,160.418,1.01974,1.28307,1.11175,0.91228,0.85325,0.94611,0.76234,0.82234,0.90632,1.02023,0.000257005,0.000257005,0.000257005
25,166.751,1.00689,1.27678,1.10365,0.90671,0.85846,0.94889,0.75997,0.81095,0.89484,1.02244,0.000255005,0.000255005,0.000255005
26,173.462,0.97576,1.23084,1.09168,0.92169,0.88521,0.95134,0.77975,0.76267,0.85191,1.00368,0.000253005,0.000253005,0.000253005
27,180.33,0.97453,1.22267,1.09461,0.92798,0.86009,0.9542,0.77434,0.78584,0.84417,1.00444,0.000251005,0.000251005,0.000251005
28,187.408,0.95977,1.18297,1.07421,0.92897,0.88892,0.96068,0.78941,0.74964,0.81011,0.9908,0.000249005,0.000249005,0.000249005
29,193.8,0.95934,1.17383,1.07823,0.92642,0.8952,0.9602,0.77923,0.78117,0.81781,1.01217,0.000247006,0.000247006,0.000247006
30,200.579,0.94292,1.14805,1.06747,0.94034,0.88658,0.96174,0.7888,0.74258,0.79268,0.97922,0.000245006,0.000245006,0.000245006
31,207.469,0.92457,1.12522,1.05817,0.94966,0.88759,0.96564,0.79122,0.75182,0.77894,0.98876,0.000243006,0.000243006,0.000243006
32,214.099,0.92314,1.11137,1.05623,0.93869,0.89943,0.96806,0.79912,0.72708,0.75661,0.97647,0.000241006,0.000241006,0.000241006
33,220.781,0.91074,1.09758,1.05417,0.95026,0.89694,0.96904,0.80309,0.71365,0.74212,0.97669,0.000239006,0.000239006,0.000239006
34,227.518,0.88808,1.06758,1.04448,0.9517,0.89961,0.96929,0.79687,0.73773,0.73338,0.97485,0.000237007,0.000237007,0.000237007
35,233.944,0.88922,1.06374,1.04148,0.92878,0.91864,0.9717,0.80151,0.73275,0.72514,0.96744,0.000235007,0.000235007,0.000235007
36,240.224,0.88422,1.04439,1.03807,0.93682,0.90511,0.97152,0.80942,0.69919,0.70624,0.95707,0.000233007,0.000233007,0.000233007
37,247.25,0.89255,1.04578,1.04061,0.94554,0.92196,0.97443,0.81281,0.69323,0.69216,0.96079,0.000231007,0.000231007,0.000231007
38,253.707,0.86653,1.01938,1.02797,0.9497,0.91659,0.97476,0.81089,0.70491,0.6898,0.9649,0.000229007,0.000229007,0.000229007
39,260.135,0.88078,1.01876,1.02622,0.95059,0.92257,0.9767,0.8152,0.6919,0.68138,0.95391,0.000227008,0.000227008,0.000227008
40,266.738,0.86583,1.00154,1.02302,0.95234,0.92279,0.97909,0.81532,0.68786,0.66846,0.94835,0.000225008,0.000225008,0.000225008
41,273.342,0.85521,0.98741,1.02096,0.95918,0.93019,0.97955,0.81891,0.69082,0.66086,0.95432,0.000223008,0.000223008,0.000223008
