epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.35465,5.65268,5.26295,4.02483,0,0,0,0,6.27668,5.26751,4.13366,9.999e-05,9.999e-05,9.999e-05
2,14.2297,4.16873,4.83941,3.2134,0.02107,0.15037,0.01401,0.00514,2.99853,4.2533,2.54799,0.000199663,0.000199663,0.000199663
3,20.5321,3.10314,4.21548,2.5186,0.01863,0.42314,0.02174,0.00897,3.03718,3.76158,2.36554,0.000298004,0.000298004,0.000298004
4,26.9613,2.43307,3.61448,2.09328,0.01865,0.66544,0.04898,0.02634,2.03068,3.46111,2.01314,0.000297001,0.000297001,0.000297001
5,33.8518,2.14057,3.13307,1.84901,0.27729,0.10066,0.09789,0.05127,1.69131,2.87156,1.6998,0.000295001,0.000295001,0.000295001
6,41.0579,1.95725,2.86387,1.7045,0.21281,0.18021,0.16072,0.09961,1.53609,2.61177,1.60954,0.000293001,0.000293001,0.000293001
7,47.8807,1.78385,2.64579,1.57817,0.27853,0.28938,0.2451,0.14592,1.52782,2.46809,1.50108,0.000291001,0.000291001,0.000291001
8,54.5991,1.65115,2.52417,1.49461,0.34069,0.38079,0.34545,0.23091,1.32056,2.26621,1.37802,0.000289001,0.000289001,0.000289001
9,61.4666,1.53127,2.38289,1.40749,0.40424,0.44889,0.41238,0.29432,1.19854,2.14169,1.30027,0.000287002,0.000287002,0.000287002
10,68.8253,1.45845,2.30409,1.37393,0.42153,0.5181,0.46917,0.34423,1.14152,1.97734,1.24045,0.000285002,0.000285002,0.000285002
11,75.3178,1.39239,2.22327,1.33632,0.44915,0.5742,0.51157,0.37748,1.13051,1.88563,1.24623,0.000283002,0.000283002,0.000283002
12,82.3332,1.36713,2.15825,1.31733,0.50217,0.59246,0.57285,0.43756,1.03269,1.79082,1.20415,0.000281002,0.000281002,0.000281002
13,88.9154,1.32267,2.09894,1.29832,0.57762,0.58694,0.61379,0.46122,1.05678,1.75468,1.19029,0.000279002,0.000279002,0.000279002
14,95.3654,1.28467,2.04149,1.27106,0.55691,0.59703,0.62336,0.4493,1.1254,1.75674,1.20607,0.000277003,0.000277003,0.000277003
15,102.059,1.2477,2.00388,1.25624,0.61254,0.63949,0.6907,0.53634,0.96663,1.61128,1.12879,0.000275003,0.000275003,0.000275003
16,108.559,1.21084,1.94788,1.22664,0.61216,0.66837,0.71479,0.56289,0.92449,1.57377,1.11669,0.000273003,0.000273003,0.000273003
