epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5542,3.85395,4.68202,2.91568,0.00984,0.71097,0.01914,0.00884,2.0949,3.37032,1.93705,0.00332574,0.00332574,0.00332574
2,64.2438,1.84929,2.95863,1.53285,0.32744,0.17563,0.1543,0.09942,1.44412,2.72414,1.34258,0.00661512,0.00661512,0.00661512
3,93.4497,1.43454,2.44874,1.2524,0.35464,0.50579,0.3828,0.27581,1.12789,1.96474,1.12415,0.00986051,0.00986051,0.00986051
4,122.945,1.23859,2.06485,1.1476,0.51776,0.60718,0.58704,0.42353,1.07722,1.64778,1.09611,0.009802,0.009802,0.009802
5,152.463,1.11646,1.79953,1.08709,0.58218,0.58085,0.63931,0.48555,0.9911,1.61117,1.05021,0.009736,0.009736,0.009736
6,181.783,1.04497,1.63158,1.05207,0.73583,0.72382,0.79118,0.65244,0.74507,1.14985,0.95645,0.00967,0.00967,0.00967
7,212.006,0.9853,1.51246,1.03146,0.77758,0.74548,0.81416,0.65087,0.82974,1.28754,0.97723,0.009604,0.009604,0.009604
8,242.027,0.93935,1.41525,1.01052,0.80468,0.76032,0.84184,0.68982,0.7571,1.03471,0.9476,0.009538,0.009538,0.009538
9,271.096,0.91309,1.36251,1.00065,0.84071,0.76979,0.85624,0.70624,0.72765,0.96997,0.93422,0.009472,0.009472,0.009472
10,300.033,0.87954,1.29161,0.98741,0.86,0.80261,0.882,0.75757,0.62958,0.8769,0.90824,0.009406,0.009406,0.009406
11,329.51,0.85521,1.25731,0.98028,0.85441,0.80379,0.87726,0.74064,0.66969,0.87878,0.91864,0.00934,0.00934,0.00934
12,358.597,0.83844,1.20751,0.97181,0.85175,0.80192,0.87628,0.73533,0.67736,0.90184,0.92387,0.009274,0.009274,0.009274
13,388.368,0.82185,1.17883,0.96472,0.88583,0.83506,0.90004,0.77367,0.61956,0.78022,0.89729,0.009208,0.009208,0.009208
14,418.364,0.80772,1.15163,0.95841,0.89709,0.84541,0.9151,0.79008,0.60734,0.76246,0.89299,0.009142,0.009142,0.009142
