epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7244,5.48303,5.23159,3.94038,0.00249,0.03288,0.00174,0.00046,3.8399,4.83278,3.16159,0.000100495,0.000100495,0.000100495
2,24.0688,3.87244,4.76146,3.04066,0.00858,0.20781,0.00784,0.00264,2.81434,4.19047,2.49145,0.000200697,0.000200697,0.000200697
3,35.1451,2.90377,4.15123,2.40166,0.01361,0.52442,0.01766,0.00837,2.29493,3.70938,2.16698,0.000300099,0.000300099,0.000300099
4,46.4739,2.33199,3.5616,2.02175,0.01393,0.81062,0.0267,0.01378,1.9207,3.32389,1.89015,0.0002994,0.0002994,0.0002994
5,57.7625,2.08091,3.16713,1.81165,0.02817,0.53799,0.03586,0.02015,1.62131,2.90148,1.63374,0.0002982,0.0002982,0.0002982
6,68.9294,1.89982,2.97894,1.65997,0.01819,0.92541,0.03798,0.02324,1.49149,2.83411,1.52642,0.000297001,0.000297001,0.000297001
7,80.0819,1.72343,2.87724,1.5515,0.03127,0.66323,0.04043,0.02542,1.39243,2.75347,1.44576,0.000295801,0.000295801,0.000295801
8,91.7703,1.60335,2.81431,1.47608,0.01387,0.98293,0.04244,0.02933,1.27184,2.74676,1.34748,0.000294601,0.000294601,0.000294601
9,103.254,1.50193,2.76171,1.39788,0.03242,0.69588,0.04526,0.03176,1.19378,2.65217,1.29501,0.000293401,0.000293401,0.000293401
10,114.705,1.42299,2.72669,1.35587,0.03127,0.91273,0.04855,0.03556,1.10732,2.59413,1.2255,0.000292201,0.000292201,0.000292201
11,126.05,1.35945,2.68829,1.31853,0.02903,0.9575,0.05137,0.038,1.05656,2.56909,1.18214,0.000291001,0.000291001,0.000291001
12,137.308,1.30615,2.66367,1.28369,0.02786,0.98069,0.05336,0.04061,1.00818,2.55561,1.16568,0.000289801,0.000289801,0.000289801
13,148.691,1.28151,2.64417,1.26714,0.02741,0.98266,0.05539,0.04109,1.00377,2.54691,1.15953,0.000288601,0.000288601,0.000288601
14,159.981,1.21548,2.61401,1.22124,0.02939,0.96354,0.05816,0.04437,0.97778,2.52577,1.12064,0.000287402,0.000287402,0.000287402
15,171.3,1.20579,2.60949,1.22165,0.03435,0.82804,0.06161,0.04713,0.98185,2.52456,1.13495,0.000286202,0.000286202,0.000286202
16,182.392,1.15645,2.59194,1.1844,0.03256,0.90673,0.06606,0.05092,0.94861,2.51046,1.12376,0.000285002,0.000285002,0.000285002
17,213.715,1.13071,2.58433,1.17828,0.03634,0.73667,0.06473,0.05075,0.90331,2.48683,1.07662,0.000283802,0.000283802,0.000283802
18,225.072,1.12025,2.57265,1.1641,0.03173,0.93475,0.06829,0.05404,0.87627,2.48952,1.0719,0.000282602,0.000282602,0.000282602
19,236.507,1.08503,2.56001,1.14456,0.03457,0.84272,0.06949,0.05561,0.85515,2.46951,1.05316,0.000281402,0.000281402,0.000281402
20,257.327,1.0734,2.55938,1.13772,0.03057,0.98142,0.06877,0.05459,0.8394,2.47174,1.05165,0.000280202,0.000280202,0.000280202
