epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6915,3.00076,4.3916,2.23455,0.01346,0.96959,0.06757,0.04702,1.25398,3.09043,1.22337,0.00333,0.00333,0.00333
2,163.08,1.34639,2.53469,1.16941,0.41574,0.59205,0.5105,0.38279,0.98667,1.82579,1.03616,0.00661936,0.00661936,0.00661936
3,282.531,1.11986,1.8104,1.05099,0.67614,0.78899,0.7984,0.62884,0.79946,1.13954,0.95091,0.00986471,0.00986471,0.00986471
4,402.246,0.97461,1.38697,0.99129,0.80826,0.85951,0.8946,0.74351,0.68221,0.85228,0.91265,0.009802,0.009802,0.009802
5,523.539,0.87417,1.17584,0.95515,0.84609,0.90247,0.92364,0.78791,0.61685,0.73533,0.88877,0.009736,0.009736,0.009736
6,644.872,0.81569,1.05629,0.93354,0.89586,0.93075,0.94266,0.82289,0.55826,0.63536,0.87197,0.00967,0.00967,0.00967
7,765.38,0.77492,0.98392,0.92124,0.87543,0.92919,0.94658,0.8216,0.56698,0.64005,0.87068,0.009604,0.009604,0.009604
8,908.634,0.7435,0.93243,0.91056,0.90347,0.94872,0.95395,0.84296,0.5167,0.5611,0.85869,0.009538,0.009538,0.009538
9,1032.21,0.71895,0.89224,0.90277,0.88672,0.94928,0.94894,0.84239,0.51111,0.5747,0.85441,0.009472,0.009472,0.009472
10,1128.21,0.70298,0.86599,0.89935,0.89918,0.9547,0.95248,0.84994,0.49435,0.54747,0.85126,0.009406,0.009406,0.009406
11,1196.46,0.68493,0.8332,0.89292,0.90326,0.96623,0.95411,0.85481,0.48588,0.50872,0.84642,0.00934,0.00934,0.00934
12,1263.04,0.67254,0.81128,0.88846,0.90991,0.96402,0.9557,0.86121,0.47231,0.50062,0.84172,0.009274,0.009274,0.009274
13,1331.4,0.66089,0.78789,0.88351,0.90647,0.96992,0.95346,0.86019,0.4655,0.49216,0.83926,0.009208,0.009208,0.009208
14,1419.23,0.65049,0.77441,0.88153,0.92602,0.96864,0.961,0.87011,0.45939,0.45869,0.83727,0.009142,0.009142,0.009142
15,1509.28,0.64155,0.76484,0.88037,0.92009,0.9664,0.95925,0.86658,0.46169,0.46184,0.83824,0.009076,0.009076,0.009076
16,1576.39,0.63298,0.74553,0.87591,0.9227,0.97622,0.95798,0.8747,0.43781,0.43877,0.83262,0.00901,0.00901,0.00901
17,1644.43,0.62499,0.73613,0.87679,0.92245,0.97515,0.95652,0.8752,0.43167,0.43458,0.83133,0.008944,0.008944,0.008944
18,1750.82,0.62044,0.72188,0.87191,0.91809,0.97709,0.95675,0.86838,0.44773,0.4369,0.83313,0.008878,0.008878,0.008878
19,1874.33,0.6145,0.71439,0.87109,0.92931,0.97283,0.96146,0.879,0.43227,0.41882,0.82983,0.008812,0.008812,0.008812
20,1995.42,0.60937,0.70629,0.87004,0.92989,0.97195,0.96143,0.88161,0.42323,0.41471,0.82803,0.008746,0.008746,0.008746
21,2118.21,0.60282,0.70032,0.86864,0.92783,0.97648,0.96279,0.88084,0.42903,0.4116,0.82839,0.00868,0.00868,0.00868
22,2240.81,0.59828,0.69412,0.86726,0.92855,0.97961,0.96041,0.88367,0.41672,0.40116,0.82601,0.008614,0.008614,0.008614
23,2362.55,0.59532,0.68625,0.86686,0.92756,0.98054,0.95902,0.88202,0.41738,0.39982,0.82567,0.008548,0.008548,0.008548
24,2462.9,0.58862,0.67633,0.8653,0.92766,0.9817,0.95813,0.88439,0.40868,0.39141,0.82446,0.008482,0.008482,0.008482
25,2530.14,0.5867,0.67333,0.86499,0.92514,0.98228,0.9595,0.88568,0.40696,0.38697,0.82332,0.008416,0.008416,0.008416
26,2618.13,0.58269,0.66431,0.86266,0.93,0.98036,0.96158,0.88836,0.40645,0.38299,0.82256,0.00835,0.00835,0.00835
27,2738.41,0.58167,0.66209,0.86314,0.93261,0.98085,0.96276,0.88988,0.4063,0.37809,0.82303,0.008284,0.008284,0.008284
28,2859.46,0.57462,0.65634,0.86098,0.92947,0.98286,0.9591,0.88667,0.40218,0.37845,0.82194,0.008218,0.008218,0.008218
29,2925.64,0.57347,0.64817,0.86017,0.93167,0.98303,0.96218,0.89228,0.39699,0.37396,0.82108,0.008152,0.008152,0.008152
30,2991.73,0.57039,0.64556,0.86036,0.93619,0.98386,0.96116,0.89264,0.39454,0.36502,0.82036,0.008086,0.008086,0.008086
31,3103.1,0.56881,0.64305,0.86024,0.93099,0.98503,0.96102,0.89265,0.3963,0.36666,0.82047,0.00802,0.00802,0.00802
32,3192.59,0.56595,0.64018,0.85821,0.93387,0.98274,0.96058,0.89325,0.39255,0.36369,0.8197,0.007954,0.007954,0.007954
33,3259.81,0.56474,0.63534,0.85713,0.93429,0.98612,0.95993,0.89282,0.39061,0.35965,0.8191,0.007888,0.007888,0.007888
34,3343.28,0.55945,0.63067,0.85757,0.93486,0.98946,0.96063,0.89439,0.38947,0.35455,0.81859,0.007822,0.007822,0.007822
35,3461.57,0.55934,0.62692,0.85674,0.93672,0.98771,0.96045,0.89444,0.38818,0.3518,0.81839,0.007756,0.007756,0.007756
36,3528.37,0.55506,0.62503,0.85566,0.93547,0.98806,0.9601,0.89506,0.38533,0.35176,0.81785,0.00769,0.00769,0.00769
37,3595.32,0.55532,0.62131,0.85649,0.9356,0.98749,0.96085,0.89597,0.38326,0.34914,0.81734,0.007624,0.007624,0.007624
38,3662.66,0.55396,0.62124,0.85543,0.93835,0.98623,0.96394,0.90035,0.37897,0.34592,0.81658,0.007558,0.007558,0.007558
39,3728.76,0.55208,0.61754,0.85603,0.93993,0.98528,0.9652,0.90165,0.38043,0.34337,0.81661,0.007492,0.007492,0.007492
