epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.072,2.44416,3.74889,1.82832,0.30834,0.48686,0.34132,0.2518,1.02091,2.0676,1.05072,0.003332,0.003332,0.003332
2,362.112,1.16662,1.90405,1.05223,0.69776,0.78394,0.79383,0.63564,0.78435,1.11022,0.93916,0.00659935,0.00659935,0.00659935
3,529.711,0.99638,1.35171,0.97641,0.84738,0.88678,0.91072,0.76005,0.67381,0.77596,0.89724,0.00980069,0.00980069,0.00980069
4,695.021,0.88245,1.10213,0.93681,0.88801,0.92938,0.93988,0.79773,0.62324,0.63689,0.87226,0.009703,0.009703,0.009703
5,860.329,0.79983,0.9613,0.90962,0.90074,0.94579,0.94631,0.82522,0.55344,0.56917,0.8543,0.009604,0.009604,0.009604
6,1023.26,0.75505,0.88357,0.89562,0.90406,0.95487,0.95127,0.83609,0.53641,0.53224,0.84698,0.009505,0.009505,0.009505
7,1187.54,0.72507,0.83224,0.88735,0.91905,0.96661,0.95429,0.84712,0.50842,0.48289,0.84047,0.009406,0.009406,0.009406
8,1351.57,0.70369,0.79512,0.88081,0.92136,0.97083,0.95511,0.85281,0.49303,0.46226,0.83645,0.009307,0.009307,0.009307
9,1515.36,0.6867,0.76707,0.87725,0.92311,0.97345,0.95866,0.85948,0.48308,0.44505,0.83367,0.009208,0.009208,0.009208
10,1679.5,0.67253,0.74253,0.87306,0.92307,0.97584,0.95712,0.86102,0.47458,0.43274,0.83143,0.009109,0.009109,0.009109
11,1842.7,0.66101,0.72275,0.86966,0.92585,0.97686,0.95877,0.86503,0.46681,0.4228,0.82904,0.00901,0.00901,0.00901
12,2007.32,0.65153,0.71002,0.86747,0.92646,0.97645,0.95868,0.86733,0.46043,0.41565,0.82772,0.008911,0.008911,0.008911
13,2172.96,0.63219,0.69375,0.86439,0.92937,0.97558,0.96216,0.87894,0.43237,0.40293,0.82428,0.008812,0.008812,0.008812
14,2336.46,0.6127,0.67605,0.86128,0.95954,0.96831,0.98339,0.902,0.42248,0.38521,0.82246,0.008713,0.008713,0.008713
15,2500.06,0.60299,0.64751,0.85982,0.9739,0.97634,0.9891,0.90806,0.41944,0.35694,0.82174,0.008614,0.008614,0.008614
16,2665.02,0.59627,0.63214,0.85844,0.97548,0.97743,0.98928,0.90971,0.41608,0.34998,0.82106,0.008515,0.008515,0.008515
17,2829.35,0.58984,0.61803,0.85679,0.97545,0.97982,0.98977,0.91108,0.41327,0.34256,0.82012,0.008416,0.008416,0.008416
18,2993.52,0.58208,0.60608,0.85552,0.97756,0.98096,0.98995,0.91261,0.40921,0.3368,0.81932,0.008317,0.008317,0.008317
19,3156.98,0.57754,0.59649,0.855,0.97899,0.98101,0.99004,0.91337,0.40654,0.3328,0.81882,0.008218,0.008218,0.008218
20,3320.24,0.57251,0.58594,0.85339,0.97923,0.98092,0.99024,0.91507,0.40325,0.32849,0.81816,0.008119,0.008119,0.008119
21,3528.68,0.56872,0.58085,0.85252,0.97899,0.98165,0.99044,0.91652,0.40089,0.32549,0.81769,0.00802,0.00802,0.00802
22,3693.33,0.56396,0.5727,0.85084,0.97973,0.98153,0.99051,0.91773,0.39822,0.32269,0.81714,0.007921,0.007921,0.007921
23,3870.72,0.56108,0.56921,0.85098,0.97931,0.98264,0.99067,0.91843,0.39622,0.32031,0.8167,0.007822,0.007822,0.007822
24,4034.94,0.55773,0.56494,0.85073,0.97973,0.98316,0.99079,0.91913,0.39474,0.31833,0.81638,0.007723,0.007723,0.007723
25,4198.93,0.55556,0.55904,0.84989,0.98026,0.98329,0.99085,0.91976,0.39367,0.31684,0.81615,0.007624,0.007624,0.007624
26,4365.2,0.55221,0.55455,0.84891,0.98056,0.98356,0.99093,0.92012,0.39253,0.31537,0.81593,0.007525,0.007525,0.007525
27,4534.56,0.54853,0.5501,0.84845,0.98066,0.98371,0.99099,0.92049,0.39142,0.31388,0.81573,0.007426,0.007426,0.007426
28,4707.74,0.54606,0.54543,0.84748,0.98078,0.98387,0.99104,0.92105,0.39072,0.31259,0.81559,0.007327,0.007327,0.007327
29,4878.16,0.54548,0.54387,0.84774,0.98113,0.98395,0.9911,0.92119,0.39011,0.31163,0.81544,0.007228,0.007228,0.007228
30,5042.45,0.54111,0.53829,0.84666,0.9813,0.9839,0.99115,0.92163,0.3892,0.31065,0.81525,0.007129,0.007129,0.007129
31,5209.48,0.53976,0.53843,0.84722,0.98143,0.98396,0.99118,0.92196,0.38845,0.30987,0.81511,0.00703,0.00703,0.00703
32,5375.05,0.5379,0.53089,0.84529,0.98119,0.98413,0.99121,0.92223,0.38794,0.30909,0.81496,0.006931,0.006931,0.006931
33,5539.32,0.53566,0.53091,0.84548,0.9814,0.98437,0.99124,0.92252,0.38718,0.3081,0.81481,0.006832,0.006832,0.006832
34,5703.43,0.53412,0.52733,0.84457,0.98136,0.98453,0.99128,0.92274,0.3868,0.30729,0.81469,0.006733,0.006733,0.006733
35,5891.56,0.53177,0.52492,0.84467,0.98156,0.98443,0.99132,0.923,0.38603,0.30636,0.81454,0.006634,0.006634,0.006634
36,6057.24,0.52891,0.52116,0.8441,0.98182,0.98429,0.99135,0.92328,0.38541,0.30553,0.81442,0.006535,0.006535,0.006535
37,6221.88,0.52935,0.52094,0.84407,0.98172,0.98436,0.99138,0.9236,0.38503,0.30513,0.8143,0.006436,0.006436,0.006436
38,6385.77,0.52503,0.51547,0.84287,0.98164,0.98421,0.99141,0.92384,0.38461,0.30469,0.81419,0.006337,0.006337,0.006337
39,6550.56,0.52407,0.51438,0.84326,0.98169,0.98409,0.99144,0.92421,0.38403,0.30402,0.81404,0.006238,0.006238,0.006238
40,6714.54,0.52146,0.50885,0.84161,0.98184,0.98431,0.99147,0.92436,0.38369,0.30335,0.81393,0.006139,0.006139,0.006139
41,6880.81,0.51955,0.50816,0.84121,0.98154,0.98444,0.9915,0.92465,0.38285,0.30266,0.81379,0.00604,0.00604,0.00604
42,7044.51,0.51808,0.50679,0.84133,0.9821,0.984,0.99151,0.92482,0.38241,0.30216,0.81366,0.005941,0.005941,0.005941
43,7219.5,0.51803,0.5049,0.84151,0.98199,0.98416,0.99154,0.92527,0.38184,0.30147,0.81351,0.005842,0.005842,0.005842
44,7434.23,0.51495,0.50175,0.84056,0.98181,0.98418,0.99156,0.9255,0.38106,0.30068,0.81335,0.005743,0.005743,0.005743
45,7599.41,0.51436,0.50125,0.8406,0.98187,0.98448,0.99158,0.92575,0.38058,0.3001,0.81322,0.005644,0.005644,0.005644
46,7763.96,0.51281,0.49932,0.84022,0.98201,0.98478,0.9916,0.92614,0.38014,0.29943,0.81312,0.005545,0.005545,0.005545
47,7929.63,0.51072,0.49627,0.83936,0.98207,0.98497,0.99162,0.92637,0.37982,0.29888,0.81301,0.005446,0.005446,0.005446
48,8094.55,0.51004,0.49555,0.83916,0.98179,0.98512,0.99164,0.9266,0.37901,0.29815,0.81285,0.005347,0.005347,0.005347
49,8260.67,0.50729,0.49271,0.83863,0.98212,0.9851,0.99167,0.92682,0.37836,0.29741,0.81271,0.005248,0.005248,0.005248
50,8425.96,0.50635,0.49095,0.83873,0.98189,0.98545,0.99169,0.92713,0.37776,0.29671,0.81255,0.005149,0.005149,0.005149
51,8591.09,0.50582,0.49002,0.83853,0.98236,0.98502,0.99169,0.92712,0.37739,0.2962,0.81246,0.00505,0.00505,0.00505
