epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.1229,2.97934,4.33245,2.22221,0.30132,0.09836,0.11682,0.08091,1.26174,2.85534,1.22515,0.00333,0.00333,0.00333
2,154.007,1.3152,2.29706,1.16072,0.65999,0.74584,0.75604,0.59197,0.8548,1.37911,1.00053,0.00655339,0.00655339,0.00655339
3,224.551,1.0945,1.54565,1.04335,0.68118,0.69405,0.78761,0.45468,1.49246,1.42606,1.37522,0.00966678,0.00966678,0.00966678
4,294.242,0.94059,1.18885,0.98256,0.61888,0.56228,0.62431,0.37044,1.46268,2.1228,1.31093,0.009505,0.009505,0.009505
5,364.757,0.83999,1.01738,0.94732,0.90208,0.91359,0.96344,0.82637,0.59387,0.68488,0.88784,0.00934,0.00934,0.00934
6,432.816,0.77992,0.9245,0.92552,0.94898,0.95344,0.97782,0.85346,0.55748,0.55445,0.87138,0.009175,0.009175,0.009175
7,499.84,0.74034,0.86129,0.91232,0.93293,0.95001,0.9789,0.86861,0.51369,0.55084,0.86009,0.00901,0.00901,0.00901
8,569.483,0.70717,0.8187,0.90203,0.95139,0.95783,0.98088,0.87147,0.50478,0.50455,0.85446,0.008845,0.008845,0.008845
9,636.995,0.68308,0.78464,0.89436,0.95712,0.96376,0.98265,0.87993,0.4893,0.48328,0.84812,0.00868,0.00868,0.00868
10,705.421,0.66569,0.75855,0.89031,0.95681,0.96397,0.98338,0.8808,0.4854,0.47377,0.84644,0.008515,0.008515,0.008515
11,772.109,0.64787,0.73087,0.88473,0.95957,0.96785,0.98452,0.88603,0.47075,0.44914,0.84374,0.00835,0.00835,0.00835
12,840.882,0.63474,0.70924,0.88025,0.96888,0.97057,0.98572,0.89576,0.44739,0.42829,0.83759,0.008185,0.008185,0.008185
13,908.2,0.61971,0.68839,0.87468,0.96796,0.97256,0.98704,0.89835,0.4434,0.42653,0.83573,0.00802,0.00802,0.00802
14,976.494,0.61137,0.67818,0.87334,0.9639,0.97539,0.98824,0.9046,0.43126,0.40924,0.83235,0.007855,0.007855,0.007855
15,1043.6,0.60074,0.66539,0.87171,0.96055,0.97292,0.98623,0.90232,0.42921,0.4084,0.83131,0.00769,0.00769,0.00769
16,1112.07,0.59065,0.64878,0.86717,0.96726,0.98157,0.98777,0.90538,0.42296,0.3875,0.82974,0.007525,0.007525,0.007525
17,1178.59,0.58278,0.63761,0.86806,0.96692,0.97589,0.98832,0.91055,0.41132,0.38566,0.82769,0.00736,0.00736,0.00736
18,1246.22,0.57716,0.62718,0.86349,0.97183,0.97802,0.9893,0.91192,0.41119,0.37758,0.82656,0.007195,0.007195,0.007195
19,1312.71,0.5702,0.61834,0.86195,0.97308,0.97869,0.98879,0.91333,0.40524,0.36864,0.82519,0.00703,0.00703,0.00703
20,1379.97,0.56509,0.61015,0.86115,0.96913,0.98026,0.98958,0.91774,0.39503,0.36266,0.82341,0.006865,0.006865,0.006865
21,1446.44,0.55938,0.60304,0.85977,0.97795,0.98256,0.99028,0.91805,0.39495,0.35406,0.82215,0.0067,0.0067,0.0067
22,1515.12,0.5538,0.59692,0.85822,0.97653,0.97877,0.99008,0.92024,0.39166,0.35092,0.82139,0.006535,0.006535,0.006535
23,1583.39,0.54949,0.58888,0.85791,0.97178,0.97792,0.9903,0.92182,0.38907,0.34951,0.82104,0.00637,0.00637,0.00637
24,1650.83,0.54299,0.57973,0.85627,0.97549,0.98541,0.99073,0.9251,0.38271,0.3366,0.82003,0.006205,0.006205,0.006205
25,1716.2,0.54086,0.57571,0.8559,0.9763,0.98416,0.99106,0.92654,0.37708,0.33507,0.81865,0.00604,0.00604,0.00604
26,1784.79,0.53465,0.56752,0.85354,0.97695,0.98229,0.99074,0.92682,0.37628,0.33315,0.8185,0.005875,0.005875,0.005875
27,1852.15,0.5332,0.56618,0.85398,0.9803,0.98287,0.99122,0.92814,0.3726,0.32712,0.81782,0.00571,0.00571,0.00571
28,1919.12,0.52815,0.55949,0.85229,0.97159,0.98457,0.99092,0.92941,0.37017,0.32867,0.81715,0.005545,0.005545,0.005545
29,1987.03,0.52504,0.55323,0.85108,0.97956,0.98595,0.99167,0.93115,0.36521,0.31566,0.81588,0.00538,0.00538,0.00538
