epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2158,3.1471,4.52686,2.36505,0.01419,0.99151,0.07144,0.05103,1.05358,3.03916,1.11298,0.00333,0.00333,0.00333
2,145.212,1.17234,2.25135,1.07956,0.62209,0.76147,0.73369,0.57913,0.82828,1.31095,0.95702,0.00655339,0.00655339,0.00655339
3,213.854,0.98136,1.38677,0.9865,0.8663,0.89698,0.93502,0.7843,0.64959,0.73421,0.89984,0.00966678,0.00966678,0.00966678
4,279.154,0.83982,1.02299,0.93611,0.92042,0.94242,0.96763,0.84604,0.5448,0.5641,0.86509,0.009505,0.009505,0.009505
5,344.942,0.73812,0.85213,0.90505,0.94645,0.96424,0.97828,0.87261,0.487,0.47708,0.84784,0.00934,0.00934,0.00934
6,411,0.68231,0.76665,0.88889,0.95468,0.96661,0.9819,0.87826,0.47888,0.43337,0.84239,0.009175,0.009175,0.009175
7,491.339,0.64398,0.71176,0.87799,0.96419,0.97281,0.98315,0.88626,0.46118,0.39672,0.83899,0.00901,0.00901,0.00901
8,558.525,0.61544,0.67135,0.87104,0.96325,0.96883,0.98412,0.88912,0.45522,0.38788,0.83606,0.008845,0.008845,0.008845
9,641.708,0.59567,0.64097,0.86559,0.95342,0.97342,0.98512,0.89922,0.42715,0.37451,0.82893,0.00868,0.00868,0.00868
10,761.203,0.57938,0.61792,0.86244,0.96603,0.97969,0.9878,0.90549,0.41887,0.3373,0.82643,0.008515,0.008515,0.008515
11,882.178,0.56352,0.59089,0.85809,0.97551,0.97673,0.9886,0.91102,0.40192,0.32667,0.82323,0.00835,0.00835,0.00835
12,1002.23,0.55257,0.57321,0.85481,0.96897,0.98109,0.98842,0.9143,0.39504,0.3151,0.82082,0.008185,0.008185,0.008185
13,1122.67,0.54076,0.55371,0.85089,0.97718,0.98296,0.98917,0.91894,0.38451,0.29926,0.81895,0.00802,0.00802,0.00802
14,1219.14,0.53443,0.54594,0.84964,0.97537,0.98205,0.98993,0.91471,0.39943,0.30175,0.82022,0.007855,0.007855,0.007855
15,1287.02,0.52347,0.53572,0.84873,0.97116,0.97937,0.989,0.9192,0.38242,0.30143,0.81842,0.00769,0.00769,0.00769
16,1353.06,0.51788,0.52214,0.84592,0.98244,0.9866,0.99087,0.92853,0.36323,0.27443,0.81389,0.007525,0.007525,0.007525
17,1420.35,0.50909,0.51234,0.84615,0.97882,0.98173,0.9904,0.92626,0.3674,0.27761,0.81431,0.00736,0.00736,0.00736
18,1487.17,0.50475,0.50268,0.8427,0.98132,0.98325,0.99052,0.92434,0.37531,0.27081,0.8151,0.007195,0.007195,0.007195
19,1553.67,0.49979,0.49533,0.84186,0.98154,0.98667,0.99071,0.93057,0.35661,0.26047,0.81189,0.00703,0.00703,0.00703
20,1620.25,0.49484,0.48853,0.84133,0.97987,0.98357,0.99107,0.93215,0.3545,0.2615,0.81154,0.006865,0.006865,0.006865
21,1687.31,0.48875,0.48351,0.84019,0.98248,0.98625,0.9917,0.9355,0.34709,0.25343,0.81007,0.0067,0.0067,0.0067
22,1754.81,0.48534,0.47754,0.83929,0.98375,0.98711,0.99148,0.9375,0.34045,0.24726,0.80893,0.006535,0.006535,0.006535
23,1822.12,0.48002,0.47011,0.83893,0.98289,0.98664,0.99158,0.9367,0.34503,0.24885,0.80969,0.00637,0.00637,0.00637
24,1889.58,0.47587,0.46262,0.83779,0.98312,0.98669,0.99158,0.9385,0.34129,0.24382,0.80871,0.006205,0.006205,0.006205
25,1956.14,0.47329,0.4595,0.83754,0.98491,0.98748,0.99193,0.94189,0.33147,0.23645,0.80729,0.00604,0.00604,0.00604
26,2024.79,0.46786,0.45326,0.8357,0.9865,0.98716,0.99176,0.94213,0.33282,0.23551,0.80701,0.005875,0.005875,0.005875
27,2092.25,0.46697,0.45274,0.83616,0.98632,0.98692,0.99205,0.94344,0.32873,0.23148,0.80649,0.00571,0.00571,0.00571
28,2160.95,0.46291,0.44469,0.83479,0.98394,0.98758,0.99215,0.94478,0.32736,0.22928,0.80613,0.005545,0.005545,0.005545
29,2228.32,0.45947,0.43833,0.8333,0.98507,0.98861,0.99241,0.94586,0.32601,0.22728,0.80566,0.00538,0.00538,0.00538
30,2294.6,0.45628,0.43535,0.83367,0.9853,0.99,0.9924,0.94545,0.3266,0.22537,0.80565,0.005215,0.005215,0.005215
31,2360.93,0.45452,0.43196,0.83371,0.98441,0.98806,0.99223,0.94777,0.31889,0.22448,0.80452,0.00505,0.00505,0.00505
32,2431.58,0.45206,0.43042,0.83193,0.98595,0.9886,0.99241,0.94864,0.31862,0.22148,0.80456,0.004885,0.004885,0.004885
