epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4001,3.88796,6.28773,2.13735,0.01315,0.94744,0.02059,0.01277,1.47122,3.10571,0.97671,0.00333,0.00333,0.00333
2,146.863,1.4681,2.89082,0.96274,0.14681,0.25332,0.14098,0.09332,1.23772,2.46019,0.92227,0.00655339,0.00655339,0.00655339
3,217.116,1.26281,2.11471,0.9042,0.51283,0.67758,0.6216,0.48121,0.862,1.35875,0.85359,0.00966678,0.00966678,0.00966678
4,285.602,1.09313,1.44974,0.875,0.76913,0.81936,0.84431,0.69002,0.70968,0.85504,0.82633,0.009505,0.009505,0.009505
5,353.206,0.95725,1.13519,0.85622,0.83824,0.87341,0.90944,0.7532,0.66807,0.69015,0.81665,0.00934,0.00934,0.00934
6,420.399,0.87869,0.97884,0.84553,0.89227,0.91019,0.94131,0.79762,0.6155,0.57303,0.81275,0.009175,0.009175,0.009175
7,487.002,0.82218,0.88546,0.83867,0.91075,0.92451,0.95776,0.82733,0.56255,0.51713,0.80649,0.00901,0.00901,0.00901
8,554.267,0.78554,0.81973,0.8338,0.9276,0.93776,0.96601,0.83819,0.54753,0.47599,0.80536,0.008845,0.008845,0.008845
9,623.019,0.75523,0.77295,0.83124,0.92931,0.94107,0.96845,0.84534,0.53358,0.458,0.80419,0.00868,0.00868,0.00868
10,691.507,0.72998,0.73714,0.82834,0.93111,0.93976,0.97115,0.84672,0.53476,0.44279,0.8016,0.008515,0.008515,0.008515
11,758.255,0.70884,0.7016,0.82501,0.93565,0.94998,0.9751,0.86085,0.50678,0.41875,0.80086,0.00835,0.00835,0.00835
12,828.52,0.69606,0.67556,0.82285,0.94679,0.95278,0.97749,0.86496,0.4951,0.39469,0.79838,0.008185,0.008185,0.008185
13,896.494,0.68156,0.65512,0.82185,0.94798,0.95912,0.97904,0.87362,0.47843,0.37912,0.79709,0.00802,0.00802,0.00802
14,962.817,0.66887,0.64048,0.82165,0.95591,0.9636,0.98188,0.87776,0.47179,0.36886,0.79637,0.007855,0.007855,0.007855
15,1029.1,0.65545,0.62255,0.81928,0.94995,0.96077,0.98145,0.88156,0.458,0.3638,0.79557,0.00769,0.00769,0.00769
16,1097,0.64702,0.60725,0.81801,0.95674,0.96435,0.98283,0.88195,0.45868,0.35163,0.79333,0.007525,0.007525,0.007525
17,1165.1,0.63589,0.59352,0.81751,0.95531,0.96643,0.98309,0.8866,0.44857,0.3459,0.79326,0.00736,0.00736,0.00736
18,1231.54,0.62798,0.58489,0.81566,0.962,0.96602,0.9841,0.8889,0.446,0.33758,0.79349,0.007195,0.007195,0.007195
19,1299.73,0.62272,0.57164,0.81583,0.96634,0.9698,0.98483,0.89156,0.44036,0.32308,0.79218,0.00703,0.00703,0.00703
20,1366.21,0.61785,0.56764,0.8151,0.96246,0.96891,0.98458,0.89089,0.44104,0.32595,0.79179,0.006865,0.006865,0.006865
21,1432.23,0.60666,0.55781,0.81462,0.97031,0.96954,0.98565,0.89516,0.43098,0.31271,0.79129,0.0067,0.0067,0.0067
22,1499.06,0.60263,0.55002,0.81331,0.96588,0.96654,0.98495,0.89272,0.43714,0.32079,0.79098,0.006535,0.006535,0.006535
23,1566.42,0.59699,0.54249,0.81358,0.96881,0.97228,0.9859,0.89735,0.4257,0.30658,0.79031,0.00637,0.00637,0.00637
24,1632.74,0.59046,0.53266,0.81206,0.9653,0.97395,0.98614,0.89916,0.42133,0.30221,0.79008,0.006205,0.006205,0.006205
25,1699.53,0.58962,0.52995,0.81302,0.96745,0.97087,0.98656,0.90157,0.41628,0.302,0.78983,0.00604,0.00604,0.00604
26,1765.35,0.58288,0.52198,0.81152,0.97257,0.97069,0.98642,0.90211,0.41488,0.29581,0.78895,0.005875,0.005875,0.005875
27,1832.62,0.57915,0.51831,0.81074,0.97012,0.97384,0.98683,0.90293,0.41299,0.29437,0.78922,0.00571,0.00571,0.00571
28,1898.31,0.57353,0.51005,0.81027,0.97025,0.97609,0.98728,0.90326,0.4137,0.29128,0.78919,0.005545,0.005545,0.005545
29,1964.75,0.56953,0.50639,0.80914,0.97267,0.97436,0.98788,0.9065,0.40513,0.28603,0.78862,0.00538,0.00538,0.00538
30,2031.12,0.56596,0.50157,0.80962,0.97583,0.97428,0.98754,0.90683,0.40445,0.28274,0.78801,0.005215,0.005215,0.005215
31,2099.69,0.56359,0.49649,0.81058,0.97354,0.9733,0.98724,0.90644,0.40368,0.2826,0.78803,0.00505,0.00505,0.00505
32,2164.69,0.55941,0.49362,0.80851,0.97061,0.97342,0.98816,0.90844,0.40101,0.28185,0.78776,0.004885,0.004885,0.004885
33,2245.48,0.55659,0.48649,0.80876,0.97143,0.97619,0.98784,0.90909,0.39858,0.27761,0.78758,0.00472,0.00472,0.00472
34,2312.91,0.55183,0.48457,0.80784,0.97214,0.9773,0.98822,0.91064,0.39654,0.27517,0.78736,0.004555,0.004555,0.004555
35,2381.47,0.55017,0.48273,0.8073,0.97505,0.97655,0.98839,0.91157,0.39431,0.27257,0.78686,0.00439,0.00439,0.00439
36,2447.26,0.54387,0.47705,0.80629,0.97578,0.97765,0.98857,0.91194,0.39406,0.27057,0.78667,0.004225,0.004225,0.004225
37,2514.2,0.54274,0.47301,0.80743,0.97736,0.97679,0.98873,0.91252,0.39218,0.26837,0.78657,0.00406,0.00406,0.00406
38,2579.84,0.54226,0.47326,0.80657,0.97839,0.97593,0.98869,0.91315,0.39064,0.26649,0.78625,0.003895,0.003895,0.003895
39,2646.43,0.53819,0.46705,0.80641,0.97762,0.97672,0.98894,0.9137,0.38937,0.26551,0.7863,0.00373,0.00373,0.00373
40,2713.24,0.53357,0.46216,0.80628,0.9775,0.97794,0.98925,0.91512,0.38829,0.26433,0.78605,0.003565,0.003565,0.003565
41,2781.34,0.53061,0.46051,0.80576,0.97773,0.97825,0.98957,0.9156,0.38881,0.26347,0.78591,0.0034,0.0034,0.0034
42,2847.56,0.52833,0.45746,0.806,0.97708,0.97797,0.9894,0.91556,0.38746,0.26318,0.78582,0.003235,0.003235,0.003235
43,2915.29,0.52481,0.45293,0.80457,0.97615,0.97898,0.98927,0.91556,0.3863,0.26155,0.78575,0.00307,0.00307,0.00307
44,2981.54,0.52269,0.44916,0.80498,0.97863,0.97794,0.98955,0.91625,0.385,0.25982,0.78564,0.002905,0.002905,0.002905
45,3048.01,0.51972,0.44419,0.80541,0.9788,0.97891,0.98961,0.91659,0.38389,0.25753,0.7855,0.00274,0.00274,0.00274
46,3115.07,0.51668,0.44299,0.80489,0.98036,0.9777,0.98982,0.91716,0.38317,0.25652,0.78536,0.002575,0.002575,0.002575
47,3182.27,0.51352,0.43686,0.80321,0.98237,0.97625,0.98987,0.91792,0.38214,0.25584,0.78521,0.00241,0.00241,0.00241
48,3248.57,0.51069,0.43517,0.80411,0.97816,0.97977,0.98988,0.9183,0.38062,0.25539,0.78517,0.002245,0.002245,0.002245
49,3315.39,0.51153,0.43571,0.80359,0.9792,0.97765,0.98988,0.91847,0.37964,0.25521,0.78506,0.00208,0.00208,0.00208
50,3382.69,0.50683,0.42994,0.80393,0.97988,0.97707,0.98991,0.91872,0.37877,0.25469,0.78495,0.001915,0.001915,0.001915
51,3449.09,0.44388,0.33871,0.78483,0.97997,0.9787,0.99008,0.919,0.37901,0.25298,0.78467,0.00175,0.00175,0.00175
52,3515.24,0.43644,0.32604,0.78469,0.98016,0.97953,0.99025,0.91976,0.37736,0.25064,0.78449,0.001585,0.001585,0.001585
53,3581.13,0.43027,0.31962,0.78318,0.9809,0.97937,0.99029,0.92034,0.37608,0.24911,0.78434,0.00142,0.00142,0.00142
54,3647.26,0.42765,0.31723,0.78436,0.98141,0.97882,0.99037,0.92092,0.37514,0.24788,0.78422,0.001255,0.001255,0.001255
55,3714.42,0.42413,0.31152,0.78341,0.98161,0.97908,0.99045,0.92142,0.37388,0.24644,0.78414,0.00109,0.00109,0.00109
56,3780.42,0.41961,0.30906,0.78227,0.98021,0.98029,0.99046,0.922,0.37249,0.24527,0.78406,0.000925,0.000925,0.000925
57,3847.56,0.41447,0.30395,0.78258,0.98067,0.98042,0.99048,0.92264,0.37123,0.24436,0.78397,0.00076,0.00076,0.00076
58,3914.23,0.41307,0.29974,0.78118,0.98037,0.98148,0.9905,0.92322,0.37019,0.24362,0.7839,0.000595,0.000595,0.000595
59,3980.79,0.41091,0.29765,0.78289,0.97989,0.98203,0.9905,0.92378,0.36918,0.24283,0.78381,0.00043,0.00043,0.00043
60,4047.04,0.40705,0.29298,0.78115,0.98005,0.9818,0.9905,0.9242,0.36817,0.2422,0.78374,0.000265,0.000265,0.000265
