epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34403,5.64673,5.26337,4.02267,0,0,0,0,6.28088,5.26784,4.14432,9.999e-05,9.999e-05,9.999e-05
2,14.5264,4.18497,4.84824,3.22578,0.02271,0.16298,0.01554,0.00565,3.04493,4.26656,2.55059,0.000200194,0.000200194,0.000200194
3,21.3072,3.13557,4.24504,2.54502,0.0131,0.47286,0.01643,0.0066,2.82166,3.69396,2.31212,0.000299598,0.000299598,0.000299598
4,27.7908,2.43904,3.63688,2.10598,0.0149,0.7337,0.02395,0.01214,2.06781,3.40168,1.98195,0.0002994,0.0002994,0.0002994
5,35.3717,2.12272,3.1867,1.85125,0.01271,0.95212,0.03372,0.01861,1.68645,2.94548,1.67286,0.0002982,0.0002982,0.0002982
6,42.4924,1.92218,2.98246,1.70624,0.02666,0.72752,0.03723,0.02188,1.52935,2.86391,1.60003,0.000297001,0.000297001,0.000297001
7,49.2019,1.73804,2.85557,1.57506,0.02995,0.69318,0.04103,0.02556,1.42676,2.76561,1.43849,0.000295801,0.000295801,0.000295801
8,55.7979,1.62021,2.80325,1.49124,0.01374,0.99239,0.04465,0.03046,1.24488,2.68657,1.33153,0.000294601,0.000294601,0.000294601
9,62.8161,1.52243,2.74787,1.40963,0.01438,0.99504,0.04887,0.0347,1.17102,2.64994,1.28793,0.000293401,0.000293401,0.000293401
10,69.8021,1.43877,2.72032,1.37064,0.0146,0.99692,0.04931,0.03589,1.10459,2.61378,1.21718,0.000292201,0.000292201,0.000292201
11,76.7421,1.36576,2.68358,1.32626,0.03461,0.68067,0.05031,0.03764,1.07133,2.58894,1.20441,0.000291001,0.000291001,0.000291001
12,83.3971,1.32498,2.66056,1.30063,0.01635,0.99692,0.05185,0.03821,1.04083,2.56154,1.18163,0.000289801,0.000289801,0.000289801
13,90.3311,1.29174,2.64788,1.2825,0.01742,0.99848,0.05358,0.04022,0.99633,2.56466,1.15329,0.000288601,0.000288601,0.000288601
14,97.1734,1.23392,2.62204,1.24411,0.01681,0.99797,0.05405,0.0412,0.95929,2.53005,1.12849,0.000287402,0.000287402,0.000287402
15,104.115,1.20702,2.60051,1.23067,0.03115,0.96624,0.05782,0.04463,0.94461,2.50831,1.13303,0.000286202,0.000286202,0.000286202
16,110.891,1.17273,2.58945,1.20139,0.02749,0.99287,0.05938,0.04614,0.9047,2.49851,1.09894,0.000285002,0.000285002,0.000285002
17,117.476,1.14063,2.57504,1.19444,0.03273,0.90436,0.06265,0.04921,0.88314,2.48197,1.06599,0.000283802,0.000283802,0.000283802
18,124.466,1.13534,2.5638,1.17443,0.03206,0.96134,0.06323,0.04852,0.90761,2.484,1.08818,0.000282602,0.000282602,0.000282602
19,131.222,1.09666,2.54917,1.15837,0.03928,0.63644,0.06769,0.05336,0.86259,2.46681,1.06365,0.000281402,0.000281402,0.000281402
20,138.387,1.09524,2.54697,1.1507,0.03471,0.80573,0.06979,0.05485,0.874,2.47019,1.06457,0.000280202,0.000280202,0.000280202
21,145.459,1.06201,2.53028,1.13679,0.03634,0.71275,0.07116,0.05768,0.81805,2.44471,1.03396,0.000279002,0.000279002,0.000279002
22,152.504,1.05778,2.53183,1.13039,0.04227,0.56038,0.07465,0.05986,0.84166,2.44335,1.04412,0.000277803,0.000277803,0.000277803
