epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.863,0.98582,3.83988,0.9462,0.39719,0.59487,0.47948,0.41417,0.58892,1.78138,0.80646,0.00333167,0.00333167,0.00333167
2,267.245,0.81178,1.62396,0.89455,0.79856,0.88522,0.87832,0.7691,0.52407,0.82708,0.79254,0.00653303,0.00653303,0.00653303
3,393.044,0.77952,1.14129,0.88342,0.88316,0.91969,0.92986,0.82239,0.50267,0.62553,0.78923,0.0096024,0.0096024,0.0096024
4,518.413,0.72814,0.95451,0.87444,0.88021,0.94897,0.9442,0.84328,0.48329,0.53144,0.78128,0.009406,0.009406,0.009406
5,655.657,0.67618,0.84176,0.86258,0.91801,0.9669,0.9517,0.8627,0.44565,0.45174,0.77422,0.009208,0.009208,0.009208
6,865.244,0.64287,0.77576,0.85546,0.89618,0.96577,0.95119,0.86301,0.44213,0.4424,0.77148,0.00901,0.00901,0.00901
7,1108.9,0.61914,0.72864,0.85027,0.92922,0.97126,0.95815,0.87756,0.41976,0.39198,0.76812,0.008812,0.008812,0.008812
8,1343.14,0.60252,0.70096,0.84786,0.9259,0.9781,0.95749,0.87887,0.41585,0.37604,0.76635,0.008614,0.008614,0.008614
9,1469.19,0.58976,0.67495,0.84494,0.91871,0.97086,0.95787,0.88254,0.40471,0.37517,0.76383,0.008416,0.008416,0.008416
10,1669.31,0.57501,0.65321,0.84181,0.91101,0.97113,0.95681,0.88364,0.4005,0.37239,0.76373,0.008218,0.008218,0.008218
11,1909.81,0.56942,0.63824,0.84002,0.9099,0.97534,0.95813,0.88726,0.39295,0.36593,0.76208,0.00802,0.00802,0.00802
12,2151.02,0.56116,0.62435,0.83771,0.93185,0.98056,0.9594,0.89117,0.38515,0.33494,0.76048,0.007822,0.007822,0.007822
13,2417.16,0.55096,0.60842,0.83667,0.93203,0.98248,0.95848,0.8941,0.37568,0.32598,0.75929,0.007624,0.007624,0.007624
14,2567.01,0.54643,0.59743,0.83626,0.92553,0.98092,0.95962,0.89574,0.37156,0.32645,0.75804,0.007426,0.007426,0.007426
15,2691.9,0.53834,0.58809,0.83417,0.93052,0.98062,0.95778,0.89544,0.3723,0.32541,0.75779,0.007228,0.007228,0.007228
16,2817.5,0.53633,0.57811,0.8331,0.93651,0.98039,0.96296,0.90179,0.36519,0.31227,0.7573,0.00703,0.00703,0.00703
17,2943.1,0.52858,0.57179,0.83335,0.93551,0.98464,0.96,0.90007,0.3642,0.30532,0.75682,0.006832,0.006832,0.006832
18,3067.02,0.52861,0.56543,0.83182,0.93694,0.98717,0.95965,0.90373,0.35565,0.29875,0.75572,0.006634,0.006634,0.006634
19,3192.49,0.52097,0.55381,0.82994,0.93521,0.98567,0.96222,0.90636,0.35426,0.29878,0.75491,0.006436,0.006436,0.006436
20,3392.24,0.51622,0.54803,0.82989,0.94018,0.9881,0.9607,0.90563,0.35045,0.28913,0.75428,0.006238,0.006238,0.006238
21,3517.65,0.51286,0.5424,0.83014,0.94076,0.98551,0.96292,0.90983,0.34714,0.2872,0.7538,0.00604,0.00604,0.00604
22,3644.36,0.51037,0.53688,0.82917,0.93363,0.98606,0.95965,0.90656,0.34724,0.29002,0.75355,0.005842,0.005842,0.005842
23,3770.09,0.50298,0.52752,0.82781,0.93982,0.98783,0.96318,0.91012,0.3438,0.28257,0.75298,0.005644,0.005644,0.005644
24,3895.22,0.49896,0.521,0.82715,0.93955,0.98758,0.96105,0.9107,0.33993,0.27979,0.75247,0.005446,0.005446,0.005446
25,4020.37,0.49907,0.51715,0.82758,0.94184,0.98941,0.96073,0.91082,0.33969,0.27344,0.75235,0.005248,0.005248,0.005248
26,4146.14,0.49393,0.51237,0.82575,0.94507,0.98937,0.96324,0.9134,0.33796,0.27162,0.75209,0.00505,0.00505,0.00505
27,4272.13,0.49092,0.50596,0.82494,0.94293,0.98847,0.96241,0.91365,0.33565,0.27216,0.75168,0.004852,0.004852,0.004852
