epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3139,1.2483,4.59943,0.93877,0.14648,0.15072,0.08787,0.07058,0.81604,2.86869,0.86377,0.00333,0.00333,0.00333
2,151.072,1.03744,2.21744,0.88006,0.47378,0.68814,0.55632,0.45645,0.7287,1.52094,0.84446,0.00661936,0.00661936,0.00661936
3,219.45,0.989,1.48127,0.87088,0.7505,0.81072,0.84749,0.70411,0.67529,0.91463,0.82804,0.00986471,0.00986471,0.00986471
4,288.964,0.90454,1.15004,0.85881,0.80322,0.85503,0.90068,0.74649,0.66394,0.77125,0.82083,0.009802,0.009802,0.009802
5,356.581,0.82719,0.98858,0.84628,0.86487,0.91059,0.92446,0.79005,0.59171,0.60505,0.8145,0.009736,0.009736,0.009736
6,425.554,0.78254,0.90458,0.83938,0.87747,0.92751,0.93636,0.81461,0.55057,0.55051,0.81191,0.00967,0.00967,0.00967
7,494.44,0.75251,0.85398,0.83664,0.89971,0.93699,0.94238,0.82499,0.53692,0.50761,0.80859,0.009604,0.009604,0.009604
8,564.581,0.73072,0.81512,0.83289,0.89843,0.94119,0.94373,0.82808,0.52841,0.48812,0.80698,0.009538,0.009538,0.009538
9,632.363,0.71465,0.79217,0.83022,0.8983,0.94677,0.94688,0.83281,0.51982,0.48228,0.80475,0.009472,0.009472,0.009472
10,700.044,0.70068,0.77249,0.82862,0.89106,0.94964,0.94706,0.83796,0.50607,0.4782,0.8061,0.009406,0.009406,0.009406
11,767.527,0.68768,0.7485,0.82675,0.90178,0.95863,0.95082,0.84944,0.48621,0.44478,0.80551,0.00934,0.00934,0.00934
12,850.58,0.67958,0.73446,0.82574,0.90255,0.95398,0.9491,0.8445,0.49355,0.46022,0.80703,0.009274,0.009274,0.009274
13,919.11,0.67177,0.71951,0.82404,0.91109,0.96167,0.95173,0.85061,0.48495,0.43513,0.80698,0.009208,0.009208,0.009208
14,987.35,0.6636,0.71166,0.82391,0.91182,0.95986,0.95422,0.85385,0.48066,0.43573,0.80799,0.009142,0.009142,0.009142
15,1054.36,0.65585,0.69841,0.82292,0.9126,0.96492,0.95354,0.85392,0.4752,0.42816,0.80782,0.009076,0.009076,0.009076
16,1121.71,0.65017,0.68549,0.82174,0.91055,0.9622,0.95207,0.85013,0.48451,0.42826,0.81085,0.00901,0.00901,0.00901
17,1190.24,0.64251,0.6735,0.82192,0.919,0.96744,0.95411,0.86126,0.45829,0.39774,0.81084,0.008944,0.008944,0.008944
18,1258.14,0.63911,0.66521,0.82012,0.91498,0.9695,0.95394,0.85928,0.46515,0.39681,0.81012,0.008878,0.008878,0.008878
19,1326.63,0.63262,0.65436,0.82001,0.91924,0.97082,0.95678,0.86424,0.45577,0.3834,0.81102,0.008812,0.008812,0.008812
20,1394.43,0.63137,0.64878,0.82084,0.91637,0.97548,0.95466,0.86422,0.44843,0.37797,0.81006,0.008746,0.008746,0.008746
21,1462.51,0.62329,0.64152,0.81976,0.92382,0.9746,0.95602,0.86551,0.44877,0.36957,0.81025,0.00868,0.00868,0.00868
22,1578.06,0.62047,0.63585,0.81911,0.91603,0.97615,0.95562,0.86581,0.44651,0.36797,0.80924,0.008614,0.008614,0.008614
23,1698.14,0.61786,0.62708,0.81984,0.92486,0.9747,0.9584,0.87152,0.43594,0.35663,0.80917,0.008548,0.008548,0.008548
24,1798.53,0.61132,0.61773,0.81836,0.92275,0.97628,0.95581,0.87013,0.43552,0.3529,0.80982,0.008482,0.008482,0.008482
25,1867.74,0.61201,0.6163,0.81802,0.9191,0.97316,0.95594,0.87051,0.43571,0.35741,0.80921,0.008416,0.008416,0.008416
26,1935.9,0.60624,0.61084,0.8169,0.92552,0.97633,0.95737,0.87321,0.43105,0.34686,0.80901,0.00835,0.00835,0.00835
27,2003.31,0.60639,0.60688,0.81756,0.92277,0.97776,0.95872,0.87344,0.43429,0.34784,0.80917,0.008284,0.008284,0.008284
28,2073.15,0.59953,0.60231,0.81688,0.9279,0.97815,0.95749,0.87457,0.42705,0.33868,0.80864,0.008218,0.008218,0.008218
29,2183.19,0.60014,0.59422,0.8162,0.92968,0.97962,0.959,0.87719,0.42236,0.33476,0.80875,0.008152,0.008152,0.008152
