epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.595,0.91912,3.74532,0.95534,0.52423,0.67094,0.64077,0.55832,0.55447,1.5383,0.85825,0.00333,0.00333,0.00333
2,151.822,0.75446,1.40599,0.89939,0.8932,0.9321,0.94363,0.83625,0.49228,0.67493,0.84089,0.00659737,0.00659737,0.00659737
3,244.207,0.7229,0.98061,0.88822,0.93522,0.95389,0.97207,0.87121,0.47895,0.53828,0.83947,0.00979873,0.00979873,0.00979873
4,314.629,0.66618,0.82539,0.87668,0.91809,0.95394,0.97106,0.88589,0.43428,0.51971,0.83125,0.009703,0.009703,0.009703
5,385.444,0.60656,0.71948,0.86367,0.96234,0.976,0.9832,0.90891,0.39732,0.39919,0.82155,0.009604,0.009604,0.009604
6,456.106,0.57553,0.66418,0.85686,0.97299,0.97679,0.98669,0.91183,0.40066,0.35962,0.82139,0.009505,0.009505,0.009505
7,526.348,0.55333,0.61631,0.85198,0.97322,0.97919,0.98674,0.91676,0.38589,0.33643,0.81853,0.009406,0.009406,0.009406
8,599.683,0.53449,0.58402,0.84837,0.96757,0.97241,0.9856,0.91757,0.37679,0.3264,0.81789,0.009307,0.009307,0.009307
9,673.253,0.52325,0.56271,0.84609,0.96518,0.96689,0.98514,0.92094,0.36686,0.32286,0.81479,0.009208,0.009208,0.009208
10,742.995,0.51253,0.54502,0.8447,0.97702,0.98277,0.98953,0.92769,0.36338,0.28207,0.81272,0.009109,0.009109,0.009109
11,814.454,0.50516,0.52551,0.84312,0.97578,0.98391,0.98836,0.92791,0.36004,0.27689,0.81465,0.00901,0.00901,0.00901
12,884.093,0.4963,0.51172,0.84086,0.97721,0.98129,0.99015,0.93455,0.34134,0.26795,0.81055,0.008911,0.008911,0.008911
