epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1912,3.16901,4.51109,2.42446,0.28105,0.09479,0.09474,0.06354,1.21737,2.83034,1.17172,0.00333,0.00333,0.00333
2,184.895,1.18504,2.19242,1.08624,0.64675,0.76603,0.76446,0.61774,0.75939,1.23407,0.94104,0.00655339,0.00655339,0.00655339
3,308.09,0.98965,1.3778,0.98953,0.86594,0.8757,0.92736,0.77419,0.66474,0.78075,0.90967,0.00966678,0.00966678,0.00966678
4,431.203,0.84733,1.01818,0.93867,0.90508,0.93864,0.96489,0.84528,0.53741,0.58782,0.86848,0.009505,0.009505,0.009505
5,556.028,0.74721,0.85158,0.90807,0.92932,0.95564,0.97722,0.86881,0.49639,0.49859,0.84986,0.00934,0.00934,0.00934
6,679.804,0.69062,0.76726,0.89089,0.95784,0.97281,0.98322,0.88108,0.47321,0.42811,0.8451,0.009175,0.009175,0.009175
7,827.668,0.64723,0.70945,0.8794,0.96387,0.97297,0.98505,0.89511,0.43901,0.40027,0.83562,0.00901,0.00901,0.00901
8,927.295,0.6185,0.66756,0.87193,0.961,0.96669,0.98466,0.8968,0.43533,0.3903,0.83361,0.008845,0.008845,0.008845
9,1000.38,0.59728,0.63856,0.86636,0.97095,0.97654,0.98625,0.90217,0.41959,0.35732,0.82758,0.00868,0.00868,0.00868
10,1093.94,0.57912,0.61456,0.86302,0.97215,0.97854,0.98828,0.91048,0.40617,0.33482,0.82492,0.008515,0.008515,0.008515
11,1217.77,0.56461,0.58846,0.85866,0.97413,0.97713,0.98896,0.91254,0.40156,0.32686,0.82344,0.00835,0.00835,0.00835
12,1363.17,0.55355,0.56877,0.85565,0.97656,0.98086,0.98897,0.91866,0.38826,0.31086,0.82,0.008185,0.008185,0.008185
13,1465.82,0.54061,0.55078,0.85128,0.9769,0.98239,0.98987,0.91908,0.38482,0.30461,0.81964,0.00802,0.00802,0.00802
14,1540.19,0.53369,0.54022,0.85006,0.97899,0.98303,0.99055,0.92527,0.37407,0.2938,0.81651,0.007855,0.007855,0.007855
15,1634.21,0.52357,0.52929,0.84929,0.97722,0.98086,0.98982,0.92502,0.36911,0.28651,0.81598,0.00769,0.00769,0.00769
16,1757.34,0.51712,0.51684,0.84606,0.98406,0.98538,0.99097,0.929,0.36425,0.27407,0.81405,0.007525,0.007525,0.007525
17,1880.04,0.50916,0.50528,0.84676,0.98023,0.98669,0.99091,0.93117,0.3578,0.27002,0.8131,0.00736,0.00736,0.00736
18,1953.81,0.50295,0.49698,0.84279,0.98092,0.98403,0.99124,0.93216,0.35697,0.26617,0.81223,0.007195,0.007195,0.007195
19,2025.2,0.49772,0.48844,0.84165,0.98468,0.98554,0.99102,0.93376,0.35025,0.25971,0.81087,0.00703,0.00703,0.00703
20,2116.41,0.49391,0.48103,0.84134,0.97839,0.98614,0.99092,0.93576,0.34534,0.25987,0.81012,0.006865,0.006865,0.006865
21,2240.64,0.48736,0.47651,0.84011,0.98007,0.9832,0.99166,0.93694,0.34778,0.2571,0.81005,0.0067,0.0067,0.0067
22,2391.14,0.48392,0.47081,0.83925,0.97999,0.98599,0.99159,0.93997,0.33739,0.24905,0.80845,0.006535,0.006535,0.006535
23,2518.23,0.47911,0.46439,0.83871,0.98337,0.98782,0.99176,0.94205,0.33417,0.23851,0.808,0.00637,0.00637,0.00637
24,2642.43,0.47367,0.45619,0.83758,0.98487,0.98637,0.99189,0.94091,0.33606,0.23993,0.80782,0.006205,0.006205,0.006205
25,2735.64,0.47202,0.45053,0.83745,0.98617,0.98605,0.99219,0.94455,0.32755,0.23415,0.80658,0.00604,0.00604,0.00604
26,2807.8,0.46624,0.44527,0.83542,0.98324,0.98714,0.99203,0.94441,0.32478,0.2317,0.80622,0.005875,0.005875,0.005875
27,2895.67,0.4641,0.44266,0.83551,0.98624,0.98841,0.99223,0.94675,0.32126,0.22697,0.80534,0.00571,0.00571,0.00571
28,3018.52,0.45913,0.4372,0.83422,0.98457,0.98808,0.99236,0.94632,0.3228,0.22832,0.80532,0.005545,0.005545,0.005545
29,3167.62,0.45716,0.43182,0.83312,0.98877,0.98633,0.99253,0.94846,0.31768,0.22197,0.80462,0.00538,0.00538,0.00538
30,3241.67,0.45407,0.42749,0.83332,0.98524,0.98692,0.99243,0.94838,0.31796,0.22362,0.80445,0.005215,0.005215,0.005215
31,3314.42,0.45172,0.42203,0.83342,0.9879,0.98724,0.99267,0.94978,0.31386,0.21807,0.80393,0.00505,0.00505,0.00505
32,3386.87,0.4491,0.42051,0.83146,0.98655,0.98729,0.99254,0.95009,0.31337,0.21747,0.8037,0.004885,0.004885,0.004885
33,3524.77,0.44643,0.41556,0.83033,0.98545,0.98962,0.99235,0.952,0.30837,0.21331,0.80277,0.00472,0.00472,0.00472
34,3656.33,0.44203,0.41098,0.831,0.98718,0.98856,0.99261,0.95182,0.30859,0.21206,0.80269,0.004555,0.004555,0.004555
35,3749.64,0.44103,0.4096,0.83057,0.98727,0.98983,0.99261,0.95298,0.30536,0.21054,0.8023,0.00439,0.00439,0.00439
36,3822.91,0.43659,0.40431,0.82944,0.9866,0.99004,0.99293,0.95286,0.30489,0.20777,0.80215,0.004225,0.004225,0.004225
37,3916.7,0.43526,0.40306,0.82961,0.98775,0.9894,0.99276,0.95425,0.30085,0.20608,0.80163,0.00406,0.00406,0.00406
38,4040.5,0.43357,0.40148,0.82917,0.98895,0.98865,0.99268,0.95415,0.30017,0.20555,0.80145,0.003895,0.003895,0.003895
39,4191.67,0.43111,0.39921,0.82944,0.9883,0.98975,0.99273,0.95462,0.29919,0.20304,0.80126,0.00373,0.00373,0.00373
