epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3135,3.84158,6.10873,2.22557,0.01328,0.95981,0.0202,0.01208,1.44042,3.06579,0.99966,0.00333,0.00333,0.00333
2,170.304,1.41775,2.63081,0.95636,0.36024,0.52616,0.39521,0.27553,1.11206,1.92656,0.8785,0.00655339,0.00655339,0.00655339
3,290.11,1.19675,1.64221,0.8935,0.74094,0.79529,0.83411,0.66806,0.77493,0.94917,0.83597,0.00966678,0.00966678,0.00966678
4,358.729,1.01384,1.0885,0.86369,0.87925,0.90049,0.94443,0.79381,0.64405,0.62402,0.82094,0.009505,0.009505,0.009505
5,429.165,0.86645,0.85914,0.84489,0.90784,0.92774,0.96653,0.83831,0.55419,0.51254,0.80703,0.00934,0.00934,0.00934
6,541.604,0.78669,0.74966,0.83476,0.95188,0.95386,0.97664,0.85892,0.51478,0.41507,0.80313,0.009175,0.009175,0.009175
7,663.205,0.73052,0.6805,0.82835,0.96029,0.96585,0.98225,0.87137,0.48809,0.37293,0.79825,0.00901,0.00901,0.00901
8,784.647,0.69353,0.63246,0.8238,0.95994,0.96701,0.98138,0.87316,0.48065,0.35928,0.79732,0.008845,0.008845,0.008845
9,905.929,0.66104,0.59653,0.82079,0.95575,0.96518,0.98369,0.88049,0.46338,0.35852,0.79584,0.00868,0.00868,0.00868
10,1027.71,0.6392,0.56876,0.8185,0.9613,0.97182,0.98416,0.89073,0.44007,0.32978,0.79344,0.008515,0.008515,0.008515
11,1148.38,0.6169,0.54334,0.81569,0.9693,0.97448,0.98661,0.89706,0.42597,0.3089,0.79195,0.00835,0.00835,0.00835
12,1269.88,0.60272,0.52396,0.81338,0.95694,0.96795,0.98523,0.90034,0.41169,0.3258,0.79043,0.008185,0.008185,0.008185
13,1390.08,0.58664,0.50521,0.81248,0.96961,0.975,0.9877,0.90941,0.39408,0.29113,0.79003,0.00802,0.00802,0.00802
14,1482.34,0.57495,0.49278,0.81233,0.97179,0.97683,0.98889,0.90958,0.3994,0.2844,0.78971,0.007855,0.007855,0.007855
15,1551.84,0.55918,0.47889,0.80989,0.97387,0.97693,0.98867,0.91388,0.38436,0.27911,0.78882,0.00769,0.00769,0.00769
16,1620.12,0.54964,0.46651,0.80883,0.97891,0.98204,0.98999,0.91877,0.37215,0.26079,0.78714,0.007525,0.007525,0.007525
17,1688.61,0.53979,0.4548,0.80841,0.97043,0.97945,0.98907,0.91932,0.37108,0.2668,0.78749,0.00736,0.00736,0.00736
18,1757.55,0.53221,0.44713,0.80662,0.97586,0.97974,0.98957,0.92175,0.3669,0.25687,0.78617,0.007195,0.007195,0.007195
19,1826.22,0.52435,0.43837,0.80677,0.98012,0.98193,0.98968,0.92565,0.35539,0.24452,0.78587,0.00703,0.00703,0.00703
20,1896.24,0.51673,0.43117,0.80574,0.97797,0.98476,0.99053,0.92602,0.35277,0.24139,0.78511,0.006865,0.006865,0.006865
21,1966.01,0.50742,0.42333,0.80563,0.97733,0.98087,0.99081,0.92994,0.34377,0.24346,0.78458,0.0067,0.0067,0.0067
22,2049.73,0.50065,0.41661,0.80425,0.97947,0.98455,0.99094,0.93107,0.34157,0.23439,0.78407,0.006535,0.006535,0.006535
23,2170.82,0.49577,0.40993,0.8044,0.98118,0.98368,0.99124,0.93369,0.33723,0.23118,0.78379,0.00637,0.00637,0.00637
24,2291.79,0.48811,0.40162,0.80314,0.97887,0.98253,0.99078,0.93423,0.33491,0.23094,0.78309,0.006205,0.006205,0.006205
25,2436.1,0.48481,0.3995,0.80394,0.98065,0.98598,0.99142,0.93787,0.32512,0.2178,0.78263,0.00604,0.00604,0.00604
26,2560.51,0.47885,0.39271,0.80247,0.98252,0.98221,0.99136,0.93763,0.3276,0.22195,0.78241,0.005875,0.005875,0.005875
27,2683.67,0.47571,0.38947,0.80199,0.98165,0.98461,0.99148,0.93951,0.32378,0.21697,0.78219,0.00571,0.00571,0.00571
28,2753.74,0.46932,0.38361,0.80144,0.98401,0.984,0.99192,0.94033,0.32235,0.21557,0.78186,0.005545,0.005545,0.005545
29,2863.48,0.46531,0.37842,0.80036,0.97924,0.98419,0.99193,0.94144,0.31778,0.21575,0.78164,0.00538,0.00538,0.00538
30,2986.36,0.45937,0.37351,0.80057,0.98337,0.98571,0.99185,0.94432,0.31236,0.20745,0.78144,0.005215,0.005215,0.005215
31,3108.68,0.45631,0.36674,0.80137,0.98447,0.98691,0.99198,0.94536,0.30911,0.20332,0.78106,0.00505,0.00505,0.00505
32,3230.05,0.45285,0.36549,0.7997,0.98556,0.9835,0.99202,0.94681,0.30446,0.20267,0.78068,0.004885,0.004885,0.004885
33,3351.33,0.44862,0.35955,0.79959,0.9853,0.98486,0.99207,0.9477,0.30236,0.20002,0.78057,0.00472,0.00472,0.00472
34,3471.87,0.44294,0.35613,0.79898,0.98446,0.98578,0.99237,0.94842,0.30307,0.1998,0.78033,0.004555,0.004555,0.004555
35,3592.7,0.44,0.35382,0.79825,0.9854,0.98869,0.99232,0.94957,0.29937,0.19505,0.78025,0.00439,0.00439,0.00439
36,3714.39,0.43599,0.35094,0.79732,0.9871,0.98878,0.99262,0.9507,0.2976,0.19263,0.77987,0.004225,0.004225,0.004225
37,3836.76,0.4333,0.34471,0.79853,0.98778,0.98944,0.99273,0.95156,0.29439,0.18941,0.77969,0.00406,0.00406,0.00406
38,3957.8,0.43047,0.34565,0.79728,0.98567,0.98873,0.99262,0.95155,0.29509,0.19051,0.77947,0.003895,0.003895,0.003895
