epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8174,3.0378,4.45042,2.30892,0.24822,0.11817,0.10049,0.06792,1.17796,2.75599,1.15304,0.00333,0.00333,0.00333
2,147.628,1.17396,2.21926,1.09005,0.61266,0.76168,0.73263,0.58258,0.78916,1.33228,0.95436,0.00655339,0.00655339,0.00655339
3,217.334,0.98802,1.38609,0.99194,0.869,0.88242,0.93238,0.77506,0.67076,0.77717,0.90208,0.00966678,0.00966678,0.00966678
4,285.288,0.84916,1.02037,0.94037,0.91033,0.938,0.96491,0.8315,0.57881,0.59534,0.87348,0.009505,0.009505,0.009505
5,400.736,0.74892,0.85303,0.90938,0.93146,0.95178,0.97603,0.86817,0.49538,0.51922,0.85251,0.00934,0.00934,0.00934
6,504.185,0.69025,0.76737,0.89195,0.96131,0.97497,0.98198,0.88089,0.47149,0.42156,0.84349,0.009175,0.009175,0.009175
7,571.64,0.65045,0.71417,0.88048,0.96453,0.97845,0.98492,0.89263,0.44522,0.39675,0.83745,0.00901,0.00901,0.00901
8,639.977,0.62082,0.67097,0.8726,0.96387,0.97323,0.98477,0.89072,0.45007,0.38118,0.83468,0.008845,0.008845,0.008845
9,706.921,0.59989,0.64077,0.8667,0.96758,0.97609,0.98545,0.90115,0.42453,0.36661,0.82984,0.00868,0.00868,0.00868
10,775.878,0.58395,0.61978,0.86389,0.96579,0.97883,0.98774,0.89996,0.43053,0.3513,0.82818,0.008515,0.008515,0.008515
11,888.007,0.56833,0.59247,0.85948,0.97952,0.97799,0.98838,0.91266,0.40079,0.32197,0.82346,0.00835,0.00835,0.00835
12,1009.01,0.55627,0.5741,0.85619,0.97373,0.98111,0.98849,0.9114,0.40211,0.32589,0.82312,0.008185,0.008185,0.008185
13,1129.87,0.54428,0.55289,0.85196,0.97907,0.98438,0.98955,0.91895,0.38266,0.30032,0.819,0.00802,0.00802,0.00802
14,1230.67,0.53604,0.54201,0.8502,0.97915,0.98738,0.98997,0.92306,0.37611,0.29008,0.81678,0.007855,0.007855,0.007855
15,1297.64,0.52741,0.53254,0.84995,0.98083,0.98551,0.99053,0.92524,0.37243,0.285,0.81685,0.00769,0.00769,0.00769
16,1378.32,0.52008,0.51681,0.84624,0.98257,0.98394,0.98999,0.92642,0.36616,0.27799,0.81455,0.007525,0.007525,0.007525
