epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1045,2.89455,4.28104,2.17655,0.3655,0.12708,0.10519,0.07653,1.05867,2.75206,1.11281,0.00333,0.00333,0.00333
2,142.834,1.1745,2.18911,1.08371,0.65899,0.76279,0.75079,0.61761,0.72244,1.28086,0.93797,0.00655339,0.00655339,0.00655339
3,209.295,0.98524,1.37848,0.9885,0.87494,0.90403,0.93289,0.77221,0.69422,0.74217,0.90599,0.00966678,0.00966678,0.00966678
4,275.119,0.84724,1.02781,0.94011,0.91244,0.93825,0.96305,0.83079,0.57283,0.60653,0.87512,0.009505,0.009505,0.009505
5,342.219,0.74888,0.86217,0.9101,0.94117,0.95644,0.97807,0.86974,0.49955,0.49765,0.8566,0.00934,0.00934,0.00934
6,454.264,0.69382,0.77799,0.8934,0.96668,0.97073,0.98384,0.88096,0.48031,0.43091,0.84646,0.009175,0.009175,0.009175
7,573.554,0.65528,0.72125,0.88258,0.97011,0.97104,0.98589,0.89088,0.45588,0.40656,0.83958,0.00901,0.00901,0.00901
8,693.453,0.62638,0.67861,0.87485,0.96917,0.97447,0.98656,0.89855,0.43394,0.38382,0.83363,0.008845,0.008845,0.008845
9,813.3,0.60581,0.64913,0.86955,0.96333,0.97418,0.98548,0.89737,0.43495,0.37805,0.83051,0.00868,0.00868,0.00868
10,932.606,0.59013,0.62776,0.8664,0.96786,0.97544,0.98722,0.90622,0.41554,0.35585,0.82676,0.008515,0.008515,0.008515
11,1053.35,0.57417,0.5993,0.86179,0.97377,0.97805,0.98854,0.90999,0.40793,0.33519,0.82514,0.00835,0.00835,0.00835
12,1173.68,0.56176,0.57983,0.85853,0.97455,0.97686,0.98824,0.90733,0.41254,0.33276,0.82489,0.008185,0.008185,0.008185
13,1292.68,0.54997,0.5618,0.8543,0.97885,0.98163,0.99011,0.91917,0.38253,0.30915,0.81932,0.00802,0.00802,0.00802
14,1359.23,0.54117,0.55199,0.8524,0.97836,0.98252,0.9899,0.92244,0.37686,0.2977,0.81781,0.007855,0.007855,0.007855
15,1425.62,0.53144,0.53904,0.85157,0.98144,0.98441,0.99052,0.92482,0.37166,0.28804,0.8164,0.00769,0.00769,0.00769
16,1536.29,0.52428,0.52801,0.84802,0.98283,0.98351,0.99029,0.92731,0.36687,0.28036,0.81538,0.007525,0.007525,0.007525
17,1656.76,0.51565,0.5162,0.84853,0.98225,0.98244,0.99033,0.92639,0.36919,0.27686,0.81544,0.00736,0.00736,0.00736
18,1775.96,0.51112,0.50724,0.84503,0.98336,0.98471,0.99109,0.93116,0.35705,0.26861,0.81317,0.007195,0.007195,0.007195
19,1896.52,0.50533,0.49815,0.84389,0.98513,0.9855,0.99095,0.93199,0.35496,0.26212,0.81216,0.00703,0.00703,0.00703
20,2016.59,0.50202,0.4925,0.84367,0.98382,0.98534,0.99153,0.9357,0.34719,0.2585,0.81093,0.006865,0.006865,0.006865
21,2137.11,0.49501,0.48704,0.84245,0.98244,0.98549,0.99159,0.93542,0.34611,0.25621,0.81014,0.0067,0.0067,0.0067
22,2258.02,0.49178,0.48195,0.84137,0.98176,0.98749,0.9915,0.93799,0.34089,0.25151,0.80949,0.006535,0.006535,0.006535
23,2378.17,0.48596,0.47447,0.84065,0.98043,0.98343,0.99153,0.93701,0.34574,0.25512,0.80969,0.00637,0.00637,0.00637
24,2497.43,0.48158,0.46629,0.83968,0.9852,0.98678,0.99196,0.93841,0.34181,0.24784,0.80902,0.006205,0.006205,0.006205
25,2617.53,0.47886,0.46144,0.83936,0.98645,0.98615,0.99195,0.94245,0.3312,0.2387,0.80756,0.00604,0.00604,0.00604
26,2738.25,0.47412,0.45648,0.8374,0.98386,0.98267,0.99173,0.94212,0.33256,0.2429,0.80755,0.005875,0.005875,0.005875
27,2858.05,0.47241,0.4548,0.83778,0.98579,0.98793,0.99199,0.94346,0.32981,0.23531,0.80688,0.00571,0.00571,0.00571
28,2978.08,0.46749,0.44789,0.83628,0.98535,0.98637,0.99202,0.94463,0.32606,0.23148,0.80622,0.005545,0.005545,0.005545
29,3832.8,0.46447,0.44351,0.83514,0.98399,0.98812,0.99218,0.94511,0.32462,0.23188,0.80565,0.00538,0.00538,0.00538
30,3899.24,0.46105,0.43784,0.83503,0.98589,0.98597,0.99221,0.94608,0.3224,0.22784,0.80553,0.005215,0.005215,0.005215
31,3988.61,0.45944,0.43452,0.83543,0.98704,0.98451,0.99239,0.94594,0.32447,0.22865,0.8056,0.00505,0.00505,0.00505
32,4078.48,0.45642,0.4321,0.83364,0.98498,0.98633,0.99217,0.9464,0.32221,0.22746,0.80514,0.004885,0.004885,0.004885
33,4145.87,0.45301,0.42573,0.83209,0.98483,0.98947,0.99232,0.94858,0.31593,0.22171,0.80421,0.00472,0.00472,0.00472
34,4233.87,0.44931,0.42338,0.83286,0.98755,0.98792,0.99241,0.94927,0.31576,0.22003,0.8043,0.004555,0.004555,0.004555
35,4309.29,0.44891,0.42207,0.83236,0.98658,0.98821,0.99225,0.94941,0.31399,0.21717,0.80399,0.00439,0.00439,0.00439
36,4375.1,0.44418,0.41618,0.83127,0.98895,0.98675,0.99255,0.9504,0.31123,0.21567,0.80348,0.004225,0.004225,0.004225
37,4440.47,0.4428,0.41357,0.8316,0.98751,0.98796,0.99256,0.9513,0.31021,0.21435,0.80322,0.00406,0.00406,0.00406
38,4507.64,0.44057,0.41207,0.83096,0.98842,0.98807,0.99264,0.95133,0.31009,0.2141,0.80295,0.003895,0.003895,0.003895
39,4572.8,0.43881,0.40887,0.83139,0.9889,0.98723,0.99263,0.95258,0.30683,0.21229,0.80257,0.00373,0.00373,0.00373
40,4638.55,0.43527,0.40543,0.83013,0.98706,0.98957,0.99256,0.95316,0.30568,0.21136,0.80242,0.003565,0.003565,0.003565
41,4704.86,0.43339,0.40162,0.82964,0.98683,0.98956,0.99252,0.9532,0.30457,0.21042,0.80219,0.0034,0.0034,0.0034
42,4770.04,0.43123,0.39968,0.82908,0.98748,0.98898,0.99272,0.95383,0.30336,0.20974,0.80185,0.003235,0.003235,0.003235
43,4835.55,0.42777,0.39631,0.82977,0.9889,0.98811,0.99278,0.95406,0.30268,0.20799,0.80168,0.00307,0.00307,0.00307
44,4902.01,0.42527,0.39301,0.82785,0.98949,0.98734,0.99268,0.95444,0.30115,0.20709,0.80141,0.002905,0.002905,0.002905
45,4969.54,0.42479,0.38796,0.82779,0.98924,0.98772,0.99278,0.95491,0.30033,0.20474,0.80129,0.00274,0.00274,0.00274
46,5035.42,0.42153,0.3866,0.82857,0.9886,0.98949,0.99283,0.95534,0.29871,0.20328,0.80108,0.002575,0.002575,0.002575
47,5146.39,0.41776,0.3814,0.82606,0.98937,0.98877,0.99285,0.95586,0.29756,0.20249,0.80095,0.00241,0.00241,0.00241
48,5266.8,0.41713,0.38147,0.82659,0.98873,0.98901,0.99283,0.95602,0.29675,0.20165,0.80086,0.002245,0.002245,0.002245
49,5388.05,0.41642,0.3802,0.82631,0.98923,0.98835,0.9928,0.95607,0.29658,0.20156,0.80074,0.00208,0.00208,0.00208
50,5507.81,0.41381,0.37544,0.82546,0.98909,0.98872,0.99285,0.95646,0.29579,0.20064,0.80061,0.001915,0.001915,0.001915
51,5627.2,0.3545,0.27344,0.80064,0.98947,0.98889,0.99286,0.95711,0.29522,0.19969,0.8004,0.00175,0.00175,0.00175
52,5745.61,0.34777,0.26295,0.79891,0.98941,0.98886,0.99286,0.95773,0.29425,0.19834,0.80017,0.001585,0.001585,0.001585
53,5810.89,0.34454,0.25796,0.79672,0.98879,0.98906,0.99287,0.95856,0.29254,0.19693,0.79989,0.00142,0.00142,0.00142
54,5875.74,0.34169,0.25585,0.7978,0.98841,0.98999,0.99288,0.95913,0.29076,0.19529,0.79967,0.001255,0.001255,0.001255
55,5942.24,0.33902,0.25296,0.79836,0.98776,0.99094,0.9929,0.95991,0.28913,0.19375,0.79943,0.00109,0.00109,0.00109
56,6008.11,0.33622,0.24934,0.79645,0.98792,0.9907,0.9929,0.9603,0.28728,0.19267,0.79919,0.000925,0.000925,0.000925
